Ladekurvenmessung
Zeit: 2018_05_03 11.53.06
Info: FVA3, v = 0.382, T = 60, F = 20, h = 178.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	-0.002155	0.005241	-0.003142	-0.000841	0.005734	-0.004621	-0.001005	-0.005936	-1.9e-05	-0.000347
1	-0.000347	-0.002155	-0.000841	-0.001169	0.006227	-0.001991	0.000146	0.002118	-0.001169	-0.000512
2	0.000803	-0.001498	-0.002155	-0.001827	0.004912	-0.002813	0.000639	-0.002155	-0.004128	-0.001005
3	-0.001169	0.001296	-0.002648	-0.001827	0.003761	-0.000512	-0.000512	0.000803	-1.9e-05	0.002118
4	0.002118	0.003433	-0.000841	-0.002484	0.003104	-0.001827	-0.002977	-0.004456	-0.001169	0.000146
5	-0.0061	0.000803	-0.001827	-0.000676	0.003104	-0.001005	-0.00232	-0.002648	0.004255	-0.000183
6	-0.002813	0.005569	-0.002155	-0.003799	0.003104	-0.001991	-0.001662	-0.001827	0.002611	0.000967
7	-0.001991	0.002447	-0.001498	-0.001662	0.005241	0.001625	-0.001498	-0.003306	0.001132	0.000474
8	-0.002813	0.00294	-0.010209	-0.003306	0.000967	-0.001827	-0.000183	-0.003799	0.001296	-0.001498
9	-0.002155	0.00294	-0.0061	0.00146	0.000474	-0.001662	0.000146	-0.001005	0.002447	0.001789
10	-0.004292	0.005076	-0.003799	-0.000841	-0.002155	-0.001005	-0.005443	-0.000841	0.001625	0.000146
11	-0.002977	0.004419	-0.001005	-0.000347	0.000146	0.001789	-0.004456	-0.002484	-0.000183	-0.000347
12	0.000146	0.005241	-0.001334	-0.000676	-0.000347	-0.001334	-0.000676	-0.002484	0.00146	-0.001827
13	-0.001334	0.004255	-0.005607	-0.00347	0.001132	0.000803	0.001132	-0.004292	0.000803	0.000146
14	0.000146	0.00672	0.001296	-0.003142	0.000639	-0.000841	-0.000183	-0.005278	-0.000183	-0.000347
15	-0.000512	0.004912	-0.002813	-0.000183	0.005241	-0.000183	0.00031	-0.003635	-1.9e-05	-0.000512
16	0.000967	0.002118	-0.000841	-0.002813	0.000639	0.000146	0.000474	-0.001827	0.00146	0.000146
17	-0.000676	0.006062	-0.003142	-0.001991	0.003433	-0.002484	-1.9e-05	-0.006264	0.003433	-0.001169
18	0.002447	0.001132	-1.9e-05	-0.000676	0.008857	0.001625	0.000474	-0.002155	0.000967	-1.9e-05
