Ladekurvenmessung
Zeit: 2018_05_03 11.55.34
Info: FVA3, v = 0.749, T = 60, F = 20, h = 259.2
Ladewiderstand[Ohm]: 1010000
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13
0	-0.000512	0.000803	-0.003306	-0.004128	0.004583	0.000474	-0.001498	-0.00232	0.00294	0.001625	0.000803	0.01428	0.00146
1	0.003597	0.001625	0.00146	-0.002648	0.00409	-0.000841	0.003597	-0.000512	0.003761	-1.9e-05	0.004748	0.017403	0.00409
2	-0.000676	0.000803	0.00031	-0.00232	0.006062	0.003268	0.001132	0.000639	0.003433	0.004748	0.004419	0.015595	0.003104
3	-0.006757	0.002447	-0.003799	-0.00232	0.007213	-0.001662	-0.000512	0.002282	0.003761	0.004255	0.002282	0.019211	0.002118
4	0.000474	-0.004949	0.002118	-0.003635	0.005405	0.000967	0.002611	-0.001005	0.003268	0.006556	0.005569	0.017239	0.003926
5	-0.000183	0.001625	-0.000676	-0.003635	0.003761	-1.9e-05	0.001132	-0.001005	0.003597	0.003761	0.003926	0.015924	0.000803
6	-0.001169	0.002447	-0.001334	-0.003799	0.002775	0.003433	0.001296	-0.001169	0.001296	0.003268	0.002282	0.017567	0.003433
7	0.000639	0.000639	-0.000841	-0.004949	0.001789	-0.005771	-0.000841	0.000639	0.003433	0.00294	0.002118	0.011979	0.000474
8	-0.000183	0.004419	0.001132	-0.004292	0.000146	-0.001005	-0.001498	-0.007744	-0.000347	0.005405	-0.000183	0.012144	0.004419
9	0.002282	-0.000676	-1.9e-05	-0.002977	-0.002813	-0.003799	-0.002648	-0.001334	0.000146	0.004912	0.00294	0.015924	-1.9e-05
10	-0.000347	0.003597	-0.001498	-0.003799	-0.002813	-0.005936	-0.001334	-0.004456	0.000967	0.000639	0.000967	0.013952	-0.001827
11	0.001625	0.002611	-0.000512	-0.003963	0.000639	-0.002155	-0.00232	-0.002648	0.00031	0.003926	-0.000347	0.015102	-0.000512
12	0.000639	-0.001005	0.002118	-0.002977	-0.000676	-0.000841	-0.000347	-0.00232	-0.000841	0.001789	0.001296	0.011979	-0.001005
13	0.001296	-0.000183	-0.002813	-0.003142	0.000803	-0.000183	-0.001827	-0.00347	0.000803	0.004912	0.002775	0.015102	0.00146
14	-0.000183	0.00031	-0.00232	-0.005771	0.000639	-0.000512	-0.001334	-0.001005	0.00294	0.001296	0.00146	0.013623	-0.001334
15	0.000639	-0.003799	-0.001334	0.002611	0.002611	0.003597	0.003268	-0.001169	0.003433	-0.000183	0.003433	0.016581	0.00146
16	-1.9e-05	-1.9e-05	-0.001169	0.001132	0.002118	0.001132	0.004419	-0.001169	0.000639	0.003104	0.004255	0.013459	-0.000183
17	-1.9e-05	-0.000676	-0.004456	-0.002648	0.003433	0.001625	0.000803	-0.000512	0.000146	0.00294	0.003761	0.01313	0.00031
18	0.001296	-0.000676	-0.003963	-0.003963	-0.001334	-0.002977	0.001625	0.001132	0.002611	0.002118	-0.001169	0.01576	0.001132
19	-0.000841	-0.0061	-0.001827	-0.002484	0.000474	0.00294	0.001625	-0.000841	0.000474	0.003268	-0.001991	0.011322	0.002611
20	0.001296	-0.001169	-0.006757	-0.004785	-0.006593	-0.001169	0.002282	-0.000183	0.002447	0.002775	-0.001169	0.013623	0.001296
21	-0.001991	-0.005278	-0.00725	-0.001827	-0.007086	-0.000841	0.000967	-0.001334	0.000967	0.00146	-0.000183	0.008363	0.001789
22	0.002118	-0.00347	0.00146	-0.00347	-0.001498	-0.002155	-0.001005	0.003433	0.004255	0.005734	-0.000512	0.010664	0.000803
23	0.001296	0.000146	0.000639	0.000146	-0.001827	-0.000676	-1.9e-05	0.00146	0.003597	0.001296	0.00294	0.012144	0.000639
24	-0.001662	-0.001005	-0.0061	-0.003799	-0.001827	-0.002155	-0.002813	0.00031	0.00294	0.002282	0.003268	0.011815	0.001296
25	-0.000676	-0.001334	-0.000841	-0.003635	-0.000841	-0.002155	-0.004456	0.004255	0.002775	-0.001334	0.00031	0.011979	-0.001498
26	-0.001169	-0.000512	-0.002977	-0.00347	-0.00232	-0.000512	-0.001169	0.002447	-1.9e-05	-0.001827	0.001789	0.012637	0.002118
27	-0.002155	0.000967	-0.001662	-0.003306	-0.000512	-0.001334	0.00146	-0.002155	-0.000183	-0.000347	0.006556	0.009843	-0.000512
28	-0.001991	0.001789	-0.008894	-0.004949	-0.000512	-0.000676	-0.001334	-0.000676	0.00294	-0.000676	0.000474	0.009185	-1.9e-05
