Ladekurvenmessung
Zeit: 2018_05_03 11.57.03
Info: FVA3, v = 1.05, T = 60, F = 20, h = 289.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16
0	-0.005936	-0.005936	-0.001498	-0.001005	-0.001498	0.003597	-0.001827	-0.000183	-0.001005	-0.004128	-0.015304	-0.001005	0.00031	0.000146	-0.000347	0.001789
1	-0.002813	-0.004621	-0.001005	-0.00347	-1.9e-05	-0.000183	0.00031	-0.000183	0.002775	-1.9e-05	-0.011852	-1.9e-05	0.000474	0.001625	0.005076	0.00031
2	-0.005443	-0.005114	-0.001662	-0.000512	0.004912	0.003761	-0.002155	0.00031	0.000639	0.001132	-0.011852	0.00146	0.002282	0.000639	0.006556	0.00146
3	-0.002977	-0.00725	0.00031	-0.000347	-1.9e-05	0.003761	-0.002648	-0.001662	0.002447	0.001296	-0.009058	-0.000512	0.001296	-0.002813	0.002611	0.00146
4	-0.009551	-0.010373	0.000146	-0.002813	-0.000183	0.004583	-0.003963	0.000967	0.00146	-0.000347	-0.011524	-0.004456	0.001625	0.001789	0.006227	0.004748
5	-0.0061	-0.008894	0.00146	-0.002977	0.000967	0.002282	-0.003799	-0.001169	0.002118	-0.000183	-0.004949	-0.006264	-0.000347	-0.002648	0.00409	0.00409
6	-0.005278	-0.008072	-0.000347	-0.005278	-0.00232	0.005405	-0.002155	0.000967	-1.9e-05	0.000474	-0.006264	-0.002813	0.000146	-0.001991	0.005569	0.002447
7	-0.004456	-0.011195	0.001296	-0.006264	0.002118	0.001296	-0.002813	0.001296	0.003597	-0.001334	-0.005278	-0.003635	0.000639	-0.000676	0.003433	0.00409
8	-0.002648	-0.010538	0.000146	-0.0061	-0.001662	0.003433	-0.00232	-0.001498	0.002611	0.001296	-0.00347	-0.000183	-0.002484	-0.000676	0.000639	0.006062
9	-0.004949	-0.015304	0.000639	-0.006429	0.000967	0.001789	-0.008072	-0.00232	0.003104	-0.005278	-0.001498	-0.001498	0.003433	-0.000347	0.001132	0.004583
10	-0.004785	-0.012346	0.000639	-0.004292	-0.001005	0.001625	-0.001498	-0.002484	0.00146	-0.003799	-0.003142	-0.001005	-0.000512	-0.000183	0.001625	0.005241
11	-0.0061	-0.017769	0.003268	-0.003306	-0.00232	0.003104	-0.002977	-0.002813	0.002775	-0.00232	-0.000676	-0.001991	0.003104	0.000639	0.002447	0.001789
12	-0.007908	-0.016948	-0.001498	-0.004456	-0.001827	0.004748	-0.001169	-0.001005	0.002118	-0.00347	-0.000676	-0.001827	0.003268	0.003104	0.001132	0.00146
13	-0.005936	-0.012346	0.002775	-0.003799	-0.000676	0.004419	-0.001169	-0.00232	0.001789	-0.001827	-0.000676	-0.001005	0.003761	0.002447	0.002118	0.002447
14	-0.003306	-0.013003	0.000639	-0.003799	-1.9e-05	0.009021	0.000474	-0.002813	0.003104	0.000474	0.001296	0.000474	-1.9e-05	-0.003306	0.000803	0.006884
15	-0.005936	-0.014153	0.000474	-0.005936	-0.000183	0.001625	-0.003635	0.000146	-0.001498	-0.001498	0.002118	-0.001334	-1.9e-05	0.003597	0.005241	0.005405
16	-0.005771	-0.01514	0.00146	-0.008237	-0.000183	0.00146	0.000639	-0.002977	0.007049	-0.00347	0.005076	-0.002648	-0.003963	-0.001169	0.001296	0.005734
17	-0.006922	-0.015304	0.000967	-0.003306	-1.9e-05	0.000967	0.000803	-0.000841	-0.000347	-0.002648	0.006884	-0.003142	-0.000841	0.003104	0.003268	0.007213
18	-0.009058	-0.018427	-0.000841	-0.004292	-0.003142	0.000639	-0.004949	-0.00232	-0.001334	0.000146	0.006391	-0.003799	-0.001498	-0.003799	0.003433	0.004583
19	-0.007744	-0.018591	-0.001005	-0.004456	-0.000841	0.002775	-0.004785	0.000639	-0.003635	-0.001169	0.009021	-0.001005	-0.003963	-0.003963	0.003433	0.009185
20	-0.008565	-0.018591	-0.001991	-0.004621	0.000967	-0.001169	-0.004785	-0.000676	-0.001169	0.000474	0.009843	-0.002813	-0.001827	-0.002977	0.001954	0.005405
21	-0.010538	-0.018755	-0.000512	-0.001827	-0.001169	0.002447	-0.00347	-0.000512	-0.00232	-0.000347	0.00935	-0.004621	-0.002813	-0.002648	0.004419	0.009021
22	-0.009058	-0.018591	-0.000183	-0.005114	-0.000676	0.000803	-0.004949	-0.000347	-0.002813	-0.001005	0.013459	-0.00347	-0.000841	-0.002813	0.003104	0.005076
23	-0.008237	-0.021056	-0.002155	-0.002648	-0.000676	0.00409	-0.004785	-0.000676	-0.001498	0.001625	0.011651	-0.001827	0.00031	-0.002813	0.006391	0.004419
24	-0.011852	-0.019577	-0.000676	-0.006264	-0.004456	0.004255	-0.003142	-0.00232	-0.000183	-0.003306	0.008528	-0.00347	0.000803	-0.005114	0.00787	0.008035
25	-0.012017	-0.02533	0.000474	-0.004292	-0.008894	0.006556	0.001132	0.001789	-0.000183	-0.002813	0.013623	-0.004621	-0.001827	-0.005607	0.002447	0.006227
26	-0.009551	-0.025165	-0.001498	-0.005443	-0.002155	0.002611	-0.005278	-0.001169	0.000474	-0.002155	0.012965	-0.000676	-0.000676	-0.004785	0.002775	0.006227
27	-0.00873	-0.023851	-0.001991	-0.004456	-0.002813	0.003104	0.000639	-0.00347	0.000146	-0.003963	0.011322	-0.00232	-0.002813	-0.003635	0.00409	0.008035
28	-0.009387	-0.025165	0.005076	-0.00347	-0.00347	0.003104	-0.002648	-0.004785	0.000803	-0.001827	0.016088	-0.00232	-0.001334	0.000146	0.002447	0.007377
29	-0.009551	-0.025823	-0.002155	-0.003306	-0.002977	0.009843	-0.000512	-0.000841	0.001789	-0.002977	0.019211	-0.001005	-0.001662	-0.001169	0.002447	0.008363
30	-0.011524	-0.028453	0.001625	-0.004785	-0.002155	0.001954	-0.001991	-0.001498	-0.001169	-0.005443	0.01576	0.000474	0.000474	0.000146	0.004912	0.008199
31	-0.006429	-0.026645	-0.001334	-0.008237	-0.000512	0.003597	0.004419	-0.001991	0.002447	0.002118	0.018061	-0.000347	-0.000841	-0.002648	0.00146	0.005734
32	-0.009716	-0.028124	0.001296	-0.003799	0.007377	0.00294	-0.000347	-0.000183	-0.001498	0.000474	0.018225	-0.000676	-0.001169	-1.9e-05	0.006227	0.00935
33	-0.009223	-0.028288	-0.000841	-0.005443	-0.001498	0.001132	-0.003635	-0.001662	-0.00347	-0.000183	0.017567	0.001132	-0.002155	-0.001662	0.003761	0.009514
34	-0.010209	-0.027631	-0.001498	-0.00232	0.000146	0.005898	-0.001334	0.000803	0.000639	-0.001827	0.016581	0.000803	0.00146	-0.004456	0.005076	0.010829
35	-0.009058	-0.030096	-0.001498	-0.003963	0.00031	0.003433	-0.003799	-0.002648	-0.000183	-0.002484	0.019868	-0.000347	-0.003142	-0.008072	0.00672	0.009021
36	-0.013167	-0.031247	-0.001334	-0.000841	-0.001169	0.004583	-0.003142	-0.000183	-0.001334	-0.000676	0.015431	-0.002813	-0.002484	-0.003306	0.008528	0.008857
37	-0.00988	-0.028124	0.000639	-0.00725	-0.000676	0.001625	-0.004456	-0.000676	0.001132	-0.001169	0.01691	-0.002648	-0.001005	-0.00347	0.006062	0.006556
38	-0.01251	-0.029767	0.001789	-0.001498	-0.002813	0.003597	-0.002155	-1.9e-05	-0.00232	-0.002813	0.017896	-0.000676	-0.004128	-0.002484	0.010829	0.009843
39	-0.010209	-0.02911	-0.000183	-0.001005	0.000967	0.001954	-0.002484	-0.001498	-0.000512	-1.9e-05	0.016253	-0.001991	0.00146	-0.00232	0.004419	0.003926
40	-0.011688	-0.029603	-0.002977	-0.003306	-0.001334	-0.008565	-0.002484	0.001296	-0.001498	-0.001662	0.014773	-0.002484	-0.003635	-0.005936	0.010171	0.00672
41	-0.011852	-0.030096	-0.001005	-0.006593	0.00031	-0.00232	0.000967	-0.000512	0.000474	-0.001662	0.017896	-0.002813	-0.001334	-0.001334	0.012965	0.005076
42	-0.011852	-0.032726	-0.002977	-0.000676	-0.002648	0.002118	0.004419	-0.00347	-0.000676	0.001132	0.019868	-0.003635	-0.001005	-0.002484	0.008035	0.007542
43	-0.013167	-0.036342	-0.000183	-0.003963	-0.009387	-0.000676	-0.000512	0.00031	-0.000841	-0.001498	0.017403	-0.005607	-0.003142	-0.000841	0.008692	0.006062
