Ladekurvenmessung
Zeit: 2018_05_03 13.39.10
Info: FVA3, v = 0.1, T = 40, F = 20, h = 110.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8
0	-1.9e-05	-1.9e-05	-1.9e-05	-0.000183	0.00031	0.000803	-0.000183	-1.9e-05
1	-1.9e-05	-1.9e-05	0.00031	-1.9e-05	0.003597	-0.000512	-0.000183	-0.000347
2	-1.9e-05	-1.9e-05	-1.9e-05	-1.9e-05	0.001954	0.00031	-1.9e-05	-1.9e-05
3	-0.000183	-1.9e-05	-0.000183	-1.9e-05	0.003761	-0.000512	0.000146	-0.000183
4	-1.9e-05	0.000146	0.000146	-1.9e-05	0.002775	0.000803	-1.9e-05	-1.9e-05
5	-1.9e-05	-1.9e-05	0.000146	-1.9e-05	0.003926	0.000146	0.000146	0.000146
6	-0.000183	-1.9e-05	-1.9e-05	0.000146	0.003433	-0.000841	0.000146	0.000146
7	-0.000183	-1.9e-05	-1.9e-05	-0.000183	0.004255	0.000474	0.000146	-0.000183
8	-0.000183	-0.000347	0.000146	-1.9e-05	0.003268	-1.9e-05	-0.000183	0.000146
9	0.000146	-1.9e-05	-0.000183	0.000146	0.003926	-1.9e-05	-1.9e-05	-0.000183
10	-1.9e-05	-1.9e-05	-1.9e-05	-0.000183	0.000474	0.000803	-1.9e-05	0.000146
11	-0.000183	0.000146	-1.9e-05	-0.000183	0.000474	-1.9e-05	-0.000183	-1.9e-05
12	-1.9e-05	-0.000183	-1.9e-05	-1.9e-05	0.001625	-0.000512	0.000146	-0.000347
13	0.00031	-1.9e-05	0.000146	-0.000183	0.001296	0.001625	-1.9e-05	-1.9e-05
14	-1.9e-05	0.000146	0.000146	-1.9e-05	0.002775	-0.000183	-1.9e-05	-0.000183
15	-0.000183	0.000146	0.000146	-1.9e-05	0.003268	-1.9e-05	-0.000183	-1.9e-05
16	-1.9e-05	-1.9e-05	-0.000183	-0.000183	0.002775	-1.9e-05	0.000146	-1.9e-05
17	-0.000183	-1.9e-05	0.000474	0.000146	0.004419	0.000146	-1.9e-05	-0.000183
18	-0.000183	-0.000347	0.000146	0.000146	0.003926	-0.000347	-1.9e-05	0.000146
19	-0.000183	-0.000183	-0.000183	-1.9e-05	0.003104	-0.000347	-1.9e-05	-1.9e-05
20	0.00031	-0.000183	0.000146	-0.000183	0.003433	-0.000347	-1.9e-05	0.000146
21	-1.9e-05	-0.000347	-0.000347	-1.9e-05	0.003597	-0.000183	-1.9e-05	-1.9e-05
22	-0.000183	0.000146	-0.000183	-0.000183	0.002282	0.00031	-0.000183	0.000146
23	-1.9e-05	0.000146	0.000146	0.000146	0.003268	-0.001005	0.000146	-0.000183
24	-1.9e-05	-1.9e-05	-0.000183	-1.9e-05	0.003597	0.000474	-0.000183	-0.000183
25	-1.9e-05	-0.000347	-1.9e-05	0.000146	0.000639	-0.000183	0.000146	-0.000183
26	-1.9e-05	0.000474	-0.000183	-0.000183	0.003761	-0.000183	-0.000183	0.000146
27	-0.000183	0.000146	0.000146	0.000146	-0.000512	-1.9e-05	0.000146	-0.000183
28	-0.000183	-1.9e-05	-0.000347	0.00031	0.001296	0.00031	0.00031	0.000146
