Ladekurvenmessung
Zeit: 2018_05_03 13.53.46
Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16	Kurve_17	Kurve_18
0	0.00031	0.003104	0.001296	0.007706	0.005569	0.010664	0.001789	-1.9e-05	0.000803	0.004583	0.006062	0.006062	0.00787	0.004255	0.007213	-0.001334	0.002118	0.001296
1	0.001789	0.004583	0.004419	0.009678	0.010007	0.009021	0.001296	0.002447	0.001132	0.003926	0.004255	0.00787	0.005405	0.003104	0.011158	0.001132	0.007213	0.003761
2	-0.001662	0.006556	0.006227	0.011322	0.005076	0.011815	0.005076	0.001132	0.004583	0.006556	0.004748	0.006391	0.003761	0.005405	0.0105	0.002447	0.003268	0.001625
3	-0.000676	0.008363	0.00409	0.010336	0.007049	0.010336	0.000639	0.000967	0.00294	0.00409	0.005241	0.007213	0.003926	0.00787	0.011651	0.00146	0.003597	0.000146
4	-0.001991	0.004583	0.005569	0.008692	0.005569	0.012144	0.005076	0.002118	0.001954	0.004583	0.00672	0.00787	0.00031	0.004912	0.014938	0.000803	0.003597	-0.000183
5	0.000474	0.007706	0.005734	0.007049	0.006884	0.013294	0.000967	0.001954	0.007049	0.005076	0.007213	0.007377	0.00031	0.003761	0.01313	-0.001334	-0.000676	0.001296
6	0.000146	0.00787	0.004255	0.006556	0.005241	0.012308	0.002775	0.002447	0.002118	0.005898	0.004255	0.007706	-0.001662	0.000967	0.012637	-0.003635	0.000146	0.003268
7	-0.000183	0.00409	0.00409	0.004583	0.005076	0.011486	0.001132	0.000967	0.001132	0.003926	0.009185	0.008692	-0.002155	0.003104	0.003926	-0.002484	0.003104	0.005076
8	-0.000183	0.002775	0.012308	0.00787	0.001954	0.010007	-0.000512	0.001132	0.004748	0.006062	0.008692	0.007377	-0.001827	0.001954	-0.000676	-0.003963	-0.000676	0.004748
9	-0.000841	0.004419	0.00409	0.005898	0.003761	0.009843	0.000967	0.003268	0.000146	0.004583	0.006391	0.00787	-0.003799	0.002775	0.001954	-0.003306	0.003597	0.003268
10	0.003761	0.002282	0.009021	0.006391	0.005734	0.009843	-0.000183	0.001132	0.000803	0.008528	0.006884	0.00787	-0.004949	0.001625	0.004255	-0.004292	-0.000347	0.003104
11	0.000146	0.003597	0.007706	0.007049	0.004912	0.008528	-1.9e-05	0.000967	0.004419	0.004255	0.006391	0.011158	-0.004456	0.002611	0.003761	-0.005607	-0.000183	0.004748
12	0.001789	0.004255	0.009021	0.004255	0.003597	0.005405	0.000967	-0.000512	-0.001498	0.003433	0.00672	0.010336	-0.006757	0.00146	0.007213	-0.005607	-0.002155	0.002447
13	-0.000676	0.00294	0.008199	0.006227	0.003268	0.008857	-1.9e-05	0.000803	0.000474	0.007213	0.005405	0.011322	-0.007744	0.000146	0.007213	-0.00725	-0.003799	0.003433
14	-0.000183	0.002447	0.010664	0.006227	0.003104	0.005076	0.001132	-0.000676	0.002118	0.003268	0.007377	0.011486	-0.004949	0.002775	0.008857	-0.006264	-0.005443	0.003761
15	0.001789	0.001954	0.008692	0.004255	0.001296	0.00935	-0.002155	0.000146	-0.001991	0.00409	0.00672	0.011979	-0.005771	0.004419	0.008035	-0.002484	-0.00347	0.004419
16	0.001954	0.004748	0.011158	0.007706	0.002775	0.008857	-0.002813	-0.000841	-0.000512	0.003433	0.008363	0.010993	-0.006429	0.003433	0.008528	-0.005607	-0.005443	0.003104
17	0.001625	0.002611	0.008199	0.004748	0.000474	0.007213	-0.000512	0.001789	-0.001498	0.00409	0.004419	0.013459	-0.004456	0.00294	0.0105	-0.003635	-0.003799	0.003597
18	0.002282	0.002447	0.013623	0.004419	0.002118	0.007542	-0.002648	-0.003799	-0.002813	0.007213	0.009021	0.008363	-0.0061	0.004255	-0.000841	-0.004621	-0.006757	0.003926
19	0.001625	0.00294	0.003104	0.005241	-0.001498	0.009514	0.000146	0.00031	0.00031	0.00672	0.009021	0.011815	-0.004292	0.001789	0.006227	-0.003799	-0.008072	0.002447
20	-0.000183	0.005734	0.009843	0.00146	0.003268	0.009021	0.000803	-0.003142	-0.003142	0.005734	0.012472	0.01313	-0.005278	0.003268	0.00787	-0.007415	-0.005443	0.003104
21	0.001789	0.00294	0.012308	0.001132	-0.001991	0.009678	-0.000841	0.000146	-0.001498	0.006062	0.011158	0.011651	-0.004292	0.002611	0.00935	-0.00347	-0.006593	0.001625
22	0.002775	0.003597	0.012144	0.004748	0.003926	0.008857	0.000146	-0.00347	-0.001169	0.001625	0.011979	0.013787	-0.00232	0.004255	0.004583	0.000146	-0.0061	0.002118
23	0.002775	0.004419	0.011486	-0.002813	-0.002155	0.00672	0.001296	-0.001991	0.001296	0.004583	0.00935	0.016253	-0.000841	0.000803	0.004748	-0.005607	-0.008565	0.002611
24	-0.000347	0.004912	0.010993	0.001954	-0.00232	0.009021	-0.002484	-0.002155	-0.002813	0.005076	0.013952	0.012308	0.000639	0.00146	0.004583	-0.005278	-0.00873	0.003597
25	-0.001498	0.003597	0.012144	0.000474	-0.001498	0.008857	0.002282	-0.004292	-0.000512	0.004748	0.015924	0.014773	0.000967	0.000803	0.004419	-0.007086	-0.010373	0.002282
26	-0.001005	0.00294	0.008363	-0.000347	-0.001334	0.007706	-0.001662	-0.001334	-1.9e-05	0.006062	0.012637	0.014609	0.00294	0.003268	-0.001334	-0.005114	-0.007744	0.003104
27	0.001296	0.00146	0.014116	0.00031	-0.001991	0.009021	0.000474	-0.002648	-0.002155	0.005734	0.017567	0.013952	0.005734	0.001296	0.005076	-0.008237	-0.010702	0.002447
28	-0.001498	0.002118	0.012308	-0.00232	0.000639	0.007049	-0.001334	-0.002648	-0.000347	0.004583	0.015102	0.008692	0.006884	0.002775	0.001132	-0.00873	-0.008072	0.003597
29	0.000474	0.000639	0.011322	-1.9e-05	0.000639	0.006227	0.001625	-0.004128	-0.00232	0.005241	0.019375	0.013459	0.003597	0.000146	0.003104	-0.005771	-0.006757	0.003761
30	0.000474	0.000967	0.012144	-0.001827	-0.003635	0.008035	-0.002648	-0.004128	-0.004785	0.00146	0.018061	0.013787	0.011815	0.003597	0.000474	-0.008072	-0.009551	0.003761
31	0.003433	0.00031	0.011815	0.000146	0.000967	0.005734	-0.000183	-0.00347	-0.004621	0.003433	0.021348	0.015431	0.008692	0.00146	0.00031	-0.008894	-0.006757	0.00672
32	-0.000841	-0.000183	0.010664	-0.001169	-0.001991	0.008035	-0.000841	-0.003142	-0.004456	0.006556	0.020197	0.01691	0.010993	0.00294	0.000639	-0.007744	-0.00725	0.002611
33	0.003761	0.000474	0.01313	0.000474	-0.000183	0.005405	-0.004621	-0.004621	-0.004128	0.005734	0.021676	0.014938	0.014445	0.007213	-0.001005	-0.007086	-0.00347	0.004912
34	0.003926	-0.002155	0.011322	-0.004128	-0.001334	0.005898	-0.001662	-0.002813	-0.005936	0.005569	0.021019	0.01428	0.016088	0.002775	-0.001498	-0.005771	0.001789	0.001789
35	-0.000676	-0.003142	0.012144	-0.002484	-0.00347	0.007213	-0.004128	-0.005771	-0.005278	0.007213	0.022334	0.01428	0.015431	0.003761	-0.001991	-0.005936	-0.002813	0.003926
36	0.00146	-0.000841	0.011979	-0.000676	0.00146	0.008692	-0.000347	-0.003635	-0.003635	0.00409	0.021512	0.018882	0.021841	0.003433	-0.002813	-0.004292	-0.003142	0.000146
37	-0.000512	-0.000183	0.009021	-0.001334	-0.001169	0.008692	-0.003306	-0.008401	-0.006264	0.006062	0.023484	0.021676	0.019211	0.004583	-0.007086	-0.003142	0.000474	0.003104
38	0.000639	-0.000183	0.012472	-0.004456	-0.004785	0.010336	-0.001169	-0.007086	-0.004621	0.005569	0.024142	0.017896	0.018882	0.003433	-0.001334	-0.005936	0.00031	0.000146
39	0.000474	-0.002648	0.010336	-0.001991	0.001132	0.006884	-0.001991	-0.004128	-0.003799	0.005734	0.019868	0.015102	0.01954	0.004255	-0.005443	-0.005771	0.002447	0.004255
40	-0.000841	-0.006429	0.010171	-0.001334	0.000967	0.006556	-0.001827	-0.004292	-0.004621	0.006556	0.022827	0.015595	0.018718	0.001954	-0.006429	-0.008401	0.002282	0.00294
41	-0.003799	-0.005771	0.008363	-0.001334	-0.003963	0.00935	-0.005443	-0.005443	-0.005936	0.005076	0.022498	0.010993	0.021183	0.005076	-0.008565	-0.007086	0.003926	0.002775
42	0.00031	-0.007415	0.012637	-0.000347	-0.002648	0.010007	-0.000841	-0.004621	-0.004621	0.004583	0.023484	0.012144	0.021019	0.004912	-0.005114	-0.005443	0.007213	0.00294
43	-0.002648	-0.003306	0.007213	-0.000183	-0.000512	0.007377	-0.004292	-0.004456	-0.003799	0.004912	0.020362	0.011322	0.021512	0.003433	-0.008401	-0.007908	0.008199	0.00294
44	0.001789	-0.007579	0.009514	0.000803	-0.001169	0.00672	-0.003142	-0.0061	-0.005443	0.003597	0.021512	0.010171	0.022169	0.007213	-0.009223	-0.005607	0.010007	0.003268
45	0.000146	-0.00873	0.007542	-0.002155	0.000474	0.007377	0.001296	-0.005278	-0.007579	0.003761	0.019704	0.0105	0.023813	0.007049	-0.010538	-0.009058	0.003433	0.003433
46	0.001625	-0.005114	0.008035	0.00146	-0.001334	0.00787	-0.004949	-0.005771	-0.005443	0.005569	0.019047	0.006227	0.022334	0.005898	-0.011852	-0.006593	0.011979	0.002775
47	-0.000183	-0.008401	0.00787	0.001296	-0.002155	0.009514	-0.005607	-0.004456	-0.003963	0.002118	0.018882	0.009843	0.023977	0.006556	-0.012017	-0.000676	0.001132	0.003433
48	-0.001334	-0.00725	0.00672	0.001625	-0.000676	0.005734	-0.005936	-0.006429	-0.003963	0.002775	0.016253	0.006062	0.025292	0.005898	-0.018262	-0.00873	0.002775	0.004255
49	0.00146	-0.0061	0.008692	0.005076	-0.001991	0.009514	-0.004949	-0.004456	-0.002813	-0.000347	0.013952	0.007377	0.023156	0.005569	-0.013167	-0.0061	0.004255	-0.000512
50	0.00031	-0.009223	0.008528	0.004748	-0.001169	0.008528	-0.004785	-0.001991	-0.003963	0.001296	0.018389	0.004583	0.023813	0.009185	-0.015468	-0.007579	0.005241	0.006062
51	0.001296	-0.007744	0.00672	0.003104	-0.00232	0.009514	-0.005936	-0.000183	-0.002813	0.000803	0.010993	0.007049	0.025621	0.008857	-0.018427	-0.004949	0.006062	0.003104
