Ladekurvenmessung
Zeit: 2018_05_03 14.06.39
Info: FVA3, v = 0.382, T = 40, F = 10, h =???
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	-0.003635	0.005569	-0.000347	0.011979	-0.001334	-0.006757	0.005734	0.003433	-0.003635	0.003268
1	0.003268	0.011651	0.000967	0.015595	0.000803	0.001789	0.007542	0.001954	-0.005607	0.008363
2	-0.00232	0.012308	0.003104	0.015266	0.00294	-0.001334	0.007049	0.005076	-0.004456	0.005241
3	-0.006757	0.0105	0.001954	0.008528	-1.9e-05	-0.003306	0.005734	0.000967	-0.002813	0.006884
4	-0.002648	0.011979	0.004748	0.011979	0.002611	-0.005278	0.009021	0.00146	-0.004292	0.006391
5	0.000967	0.012144	0.002611	0.013623	0.001625	-0.006429	0.010336	-0.002813	-0.004785	0.008857
6	-0.001498	0.010829	0.003433	0.014116	0.00146	-0.004128	0.009678	-0.001005	-0.002977	0.00672
7	-0.000676	0.0105	0.005076	0.00672	-0.001169	-0.003635	0.010007	-0.001005	-0.003306	0.009021
8	-0.000841	0.016746	0.003761	0.015924	0.001296	-0.001334	0.010664	-0.002155	-0.003963	0.005241
9	0.000146	0.00935	0.001625	0.008692	-0.002813	-0.003142	0.011322	-0.000183	-0.004456	0.003761
10	0.001132	0.011158	0.000803	0.013294	-0.002648	-0.00347	0.012472	0.002447	-0.005936	0.006062
11	-0.000676	0.010336	0.006556	0.010993	-0.003142	-0.002977	0.0105	-0.001827	-0.004292	0.003761
12	-0.001498	0.007049	0.001789	0.011486	0.000474	-0.000183	0.011158	0.000967	-0.006757	0.005569
13	-0.000347	0.014445	0.000146	0.012801	0.002118	-0.004292	0.010007	0.003104	-0.003635	0.005569
14	-0.002484	0.012308	0.000146	0.012472	-0.00232	0.000146	0.005898	-0.002648	-0.003963	0.00935
15	-1.9e-05	0.011486	0.00294	0.010829	-0.000347	-0.004621	0.010007	0.000146	-0.001662	0.008035
16	0.001132	0.011651	0.001625	0.012637	0.005569	-0.004456	0.010993	0.000146	-0.000183	0.008363
17	-0.002813	0.007049	-0.001498	0.01313	0.00031	-0.00347	0.005898	0.000639	0.000803	0.004912
18	0.001789	0.010171	-0.002484	0.010336	0.003268	-0.002484	0.006227	-0.002155	-0.001498	0.00672
19	-0.0061	0.009843	-1.9e-05	0.016088	0.003268	-0.001827	0.009021	0.002775	-0.007579	0.009843
20	-0.000841	0.008363	-0.001005	0.010007	0.000146	-0.006593	0.006227	0.00146	-0.006264	0.008363
21	-0.001169	0.010007	-0.001005	0.0105	0.003268	-0.002155	0.007706	0.002118	-0.00347	0.007213
22	-0.004621	0.009185	0.001789	0.00672	0.003104	-0.002484	0.006227	0.000639	-0.007086	0.010993
23	-0.000841	0.012308	0.001789	0.015102	0.003268	0.000474	0.011158	0.00409	-0.005114	0.005569
24	0.002775	0.008199	0.002118	0.008692	0.00031	-0.003142	0.009021	0.00787	-0.003963	0.004583
25	-0.000347	0.011486	0.003597	0.009185	-0.001498	-0.002484	0.008857	0.00409	-0.00232	0.003761
26	-0.000183	0.00935	0.003597	0.006556	-1.9e-05	-0.001991	0.009021	-0.002155	-0.001662	0.005076
27	0.001954	0.012965	-0.00232	0.009514	-0.000183	-0.003306	0.008199	0.000474	-0.003799	0.004748
28	-0.001827	0.007706	-0.000183	0.012472	-0.004456	-0.002977	0.008199	0.00031	-1.9e-05	-0.002648
29	-0.002484	0.009021	-0.00232	0.011486	-0.000183	-0.002155	0.005405	0.000639	-0.004785	0.008199
30	-0.001991	0.006391	0.000639	0.010171	-0.000347	-0.002155	0.00672	0.000639	-0.001827	0.005734
31	-0.002648	0.008692	-0.00347	0.0105	0.000967	0.002282	0.006884	0.001132	-0.002155	0.005405
32	-0.004949	0.010993	-0.001498	0.0105	0.003761	-0.000676	0.009021	0.001296	-0.002813	0.007377
33	-0.007415	0.009843	-0.002813	0.010993	0.002611	-1.9e-05	0.004912	0.000967	-0.00347	0.010664
34	-0.005771	0.008692	0.003268	0.012308	-0.000347	-0.000512	0.006884	0.005076	-0.004456	0.003104
35	-0.004621	0.009185	-0.002813	0.010336	0.00146	-0.003306	0.005569	-0.000841	-0.004456	0.005241
36	-0.007908	0.006391	-0.001498	0.011979	0.001625	-0.003963	0.009021	0.000639	-0.005114	0.003268
37	-0.0061	0.007377	-0.000512	0.00935	0.000639	-0.00232	0.004748	0.003433	-0.0061	0.006391
