Ladekurvenmessung
Zeit: 2018_05_03 14.51.58
Info: SHC320, v = 0.428, T = 40, F = 20, h = 390.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	-0.002155	-0.00232	-0.00347	-0.000183	-0.000676	-0.002155	-0.000183	-0.000676	-0.000183	-0.002813
1	-0.002648	0.00146	0.001954	-0.000183	0.006227	0.000967	-0.000183	-0.004949	-0.000347	0.000803
2	-0.000347	0.000474	0.000146	0.006062	-0.002484	0.000146	-0.000347	-0.00725	-0.000183	0.000639
3	-0.001991	-0.00347	0.004583	0.001625	-0.001169	-0.000676	0.000146	-0.001827	-1.9e-05	0.000803
4	-1.9e-05	-0.000347	0.001625	0.003104	0.003433	0.00146	-0.000512	0.003433	-1.9e-05	0.000474
5	-0.002484	-0.000512	0.000474	0.002611	0.00409	-0.001991	-0.000183	0.002775	-1.9e-05	0.002447
6	-0.004456	0.001132	-0.001005	0.004255	0.004912	-1.9e-05	0.001296	0.000967	0.000146	0.003104
7	-0.001334	-0.001827	0.001789	-0.002977	0.006227	-0.004621	0.000803	-0.000347	0.000146	-0.000841
8	0.00409	0.000146	-0.001991	0.001789	0.002282	-0.001169	0.00146	0.003104	0.000146	0.003761
9	0.002611	-0.001991	-0.000183	0.001296	0.004419	-0.003306	-0.000183	-0.001498	-0.000347	0.002447
10	0.00294	-0.00232	0.00146	-0.000841	0.003761	-0.005443	0.00031	-0.001169	-0.000512	-0.006264
11	-0.005443	-0.000512	0.001296	-0.000183	0.005405	-0.001498	0.000146	-0.001334	-1.9e-05	-0.003142
12	-0.002155	0.001132	-0.000347	0.003926	0.001954	0.000967	0.001625	-0.002484	-0.000676	-0.002484
13	-1.9e-05	-0.000841	-0.002813	0.001625	0.003104	-0.002155	-0.000512	0.000474	0.000146	-0.00347
14	-0.002977	-0.000676	0.000639	0.001132	0.003597	0.001132	0.000803	-0.002484	-1.9e-05	-0.000676
15	-0.00347	0.001954	-0.001498	0.00409	0.003926	-0.001334	0.000146	0.000803	-1.9e-05	-0.003306
16	-0.002813	0.004255	0.000803	0.001789	0.004912	-0.001498	-0.000183	-0.002155	-1.9e-05	-0.001827
17	-0.000347	0.001625	-0.005278	0.005734	0.004912	-0.006757	0.001296	-0.000347	0.000146	0.004419
18	-0.003306	-0.000183	-0.001498	0.002282	0.002282	-0.001334	0.000146	-0.000676	0.000146	-0.002155
19	-0.002155	-1.9e-05	-0.000183	0.004419	0.005405	-1.9e-05	-0.000841	0.003761	0.000146	-0.00232
20	-0.003142	0.00146	-0.000347	0.002282	-0.000841	-0.001498	0.000146	-0.001498	-1.9e-05	-0.000841
21	-0.004128	0.008363	0.001789	0.002118	0.002282	0.002282	-1.9e-05	0.003433	-0.000183	0.001954
22	-0.004949	-0.001991	0.000474	0.00031	0.002118	-0.002155	0.000803	0.001625	-0.000183	-0.003306
23	-0.00232	-0.000183	-0.001169	0.001789	0.005405	0.001132	0.00031	-0.001334	-0.000512	-0.001498
24	-0.002977	-0.000841	0.000146	-0.001005	0.002118	-0.002155	0.000146	-0.002484	-0.000183	-0.001991
25	-0.002484	0.001132	-0.000512	0.000639	-0.001334	-0.002648	0.000146	-0.002648	-0.000183	-0.004292
26	-0.007744	-0.000183	-0.001991	0.004748	-0.000676	-0.001662	-1.9e-05	-0.000512	-1.9e-05	-0.001498
27	-0.002648	0.003597	-0.001498	0.001954	0.002775	-0.003963	-0.000183	-0.001169	0.000146	-0.001498
28	-0.001498	-0.001827	-0.001005	0.003926	-0.001334	-0.001991	0.000803	-0.000183	-1.9e-05	-0.002977
29	-0.001662	0.001789	0.001789	0.003104	-1.9e-05	-0.001827	-1.9e-05	0.000639	0.000146	-0.001005
30	-0.001169	0.00031	-0.001991	0.005076	0.002447	-0.003635	-0.000347	-0.002155	-1.9e-05	0.000474
31	-0.004456	0.001789	-0.001005	0.005898	0.001789	-0.000676	-0.000183	0.000146	-1.9e-05	0.000474
32	-0.004785	-0.000676	-0.001827	0.000967	0.002118	-0.001334	-0.000347	-0.000347	-0.000183	-0.000512
33	-0.006922	-0.002484	-1.9e-05	0.001296	0.000639	-0.00232	-1.9e-05	0.000474	-0.000183	-0.005443
34	-0.002977	-0.001169	-0.004456	0.001954	0.001132	-0.001991	-1.9e-05	0.000146	-0.000183	-0.00347
35	-0.0061	0.001132	-0.003963	-0.000512	-0.000512	-0.001498	-1.9e-05	-0.000183	-1.9e-05	-0.004785
36	-0.003799	0.001132	-0.002648	-0.000512	0.000639	-0.001334	0.00031	-0.000676	-1.9e-05	-0.002648
37	-0.007579	0.000639	-1.9e-05	0.000967	-0.001169	-0.000676	0.000146	-0.000841	-1.9e-05	-0.004128
38	-0.004621	0.00031	-0.001005	-0.00232	0.000146	0.00031	-1.9e-05	0.001296	0.000146	-0.00347
39	-0.004456	-0.000841	-0.000183	0.000474	0.002447	0.000474	0.000146	-0.001334	0.000146	-0.006429
40	-0.00347	0.00409	-0.001991	0.002447	-0.000676	0.00146	-1.9e-05	-0.001334	0.000146	-0.000676
41	-0.00347	0.002282	0.001789	0.000639	0.001296	-0.001827	-0.000183	-0.001169	-1.9e-05	-0.003799
42	-0.003142	0.003268	-0.003306	0.001954	0.002775	-0.003306	-1.9e-05	-0.000676	-0.000183	-0.002155
43	-0.001169	0.003268	0.000639	0.000803	0.000474	0.00409	-1.9e-05	-0.000676	-1.9e-05	-0.000841
44	-0.004785	0.003761	-0.000841	0.001789	0.00146	-0.005771	0.000474	-1.9e-05	-1.9e-05	-0.001005
45	-0.003799	0.00146	-0.001991	-0.000676	-0.000347	-0.007579	-1.9e-05	-0.000512	-0.000347	-0.007579
46	-0.004456	0.003597	0.001625	0.002775	-0.001334	-0.004128	-0.000183	0.000474	0.001296	0.001954
47	-0.003963	0.003597	-0.003306	0.00146	0.003433	-0.004128	-0.000183	-0.000512	-0.000512	-0.001169
48	-0.004785	0.00409	-0.00232	0.000639	-0.001005	-0.002155	-1.9e-05	-0.000512	-0.000347	0.001954
49	-0.000347	0.00672	-0.003963	0.001625	0.005734	-0.002813	-1.9e-05	0.001789	-1.9e-05	0.000146
50	-0.005936	-0.002155	-0.002813	0.000803	0.002118	-0.002977	0.00031	-0.001662	-0.000183	-0.004128
51	-0.003799	-0.001498	-0.005607	0.000803	-0.000841	-0.000676	-0.000512	0.003597	-1.9e-05	-0.001498
52	-0.00873	0.001789	-0.000841	0.003926	0.003268	-1.9e-05	-1.9e-05	0.002611	-0.000347	-0.002648
53	-0.005278	0.002611	-0.002155	-0.000676	0.003433	-0.00232	-0.000347	-0.002648	-1.9e-05	-0.000841
54	-0.009223	0.004583	0.001296	-0.001991	-0.000347	-0.009551	0.000474	-0.001005	-0.000183	-0.002155
55	-0.007908	0.00672	0.000146	0.00031	-0.000676	-0.005443	-0.001169	0.00031	-0.000512	-0.000512
56	-0.006757	0.002447	-1.9e-05	-0.003963	0.001789	-0.001169	0.00031	-0.000183	-1.9e-05	-0.001991
57	-0.010373	0.005076	-0.002155	0.002118	-0.001334	-0.003635	-1.9e-05	0.000146	-0.000183	0.000146
58	-0.006757	0.003597	0.000803	-0.000347	-0.003799	-0.003799	0.00031	-0.002977	-0.000183	-0.003306
59	-0.009551	0.007049	-0.00232	0.002282	-0.002484	-0.001498	-0.000347	-0.000183	0.000146	-0.003963
60	-0.001991	0.00409	-0.003142	-0.001827	0.001132	-0.007744	0.000474	-0.000512	-0.000183	-0.004456
61	-0.00232	0.003268	0.00146	0.005076	-0.000183	0.001296	-0.001991	-0.001662	0.000146	-0.00232
62	-0.004292	0.005405	-0.001334	0.00409	-0.001005	-0.001005	-0.001662	-0.001005	0.000146	-0.001827
63	-0.002155	0.00787	0.002282	0.005569	0.000474	-1.9e-05	-0.001498	-0.001662	-1.9e-05	-0.001005
64	-0.002648	0.004419	-0.003963	0.003268	0.002447	-0.002648	0.000967	-0.000512	-1.9e-05	-0.001334
65	-0.007086	0.005898	-0.001827	0.001954	-0.000347	-0.002813	0.001954	0.000639	-1.9e-05	-0.002813
66	-0.004456	0.006556	-0.001827	0.00294	0.000803	-0.004621	-0.000347	0.000967	-0.000347	0.001132
67	-0.004292	0.009514	-0.000841	0.003104	0.001132	-0.001169	-0.000183	-0.000183	-0.000347	-0.003963
68	-0.006429	0.005569	-0.005936	0.003597	-0.000347	0.001625	-0.001334	0.000639	-0.000347	-0.002155
69	-0.010373	0.00409	-0.00232	0.004255	0.004419	0.000474	-0.002977	0.000967	-0.000183	-0.0061
70	-0.005278	0.004583	-0.00232	0.004255	0.000639	-0.001334	-0.003142	-0.000512	0.000146	-0.00873
71	-0.006757	0.005076	-0.003306	0.003761	0.000639	-0.000347	-0.001169	-0.000512	-1.9e-05	-0.001662
72	-0.007744	0.002447	-0.00232	0.003926	0.002118	0.000803	-0.001334	0.002118	-1.9e-05	-0.001991
73	-0.0061	0.002118	-0.001169	0.000639	-0.002648	-0.002155	-1.9e-05	-0.001827	-1.9e-05	-0.002813
74	-0.004292	0.008363	-0.003963	-0.000183	0.000967	-1.9e-05	-0.002155	-0.001169	-1.9e-05	-0.001498
75	-0.006593	0.006227	-0.003142	-0.004621	0.002282	-0.002977	-0.005278	-0.002484	-1.9e-05	-0.003306
76	-0.006429	0.005734	-0.001662	-0.002977	-0.004128	-0.001991	0.000146	0.000146	-0.000183	-0.00232
77	-0.007415	0.006227	-0.00232	-0.001991	-0.001005	-0.004456	-0.005607	-0.000676	-0.000512	-0.001662
78	-0.009058	0.006391	-0.002155	-0.002155	-0.001334	-0.003306	-0.003306	-0.001498	-0.000183	-0.002977
79	-0.007579	0.004912	-0.001991	0.000474	-0.000841	-0.003142	-0.004785	0.000967	-1.9e-05	-0.003306
80	-0.007744	0.005898	0.002282	0.000639	-0.004128	-0.002977	-0.00232	0.002447	-0.000183	-0.001334
81	-0.001827	0.003926	-0.002648	-0.000676	0.00146	-0.004785	-0.002977	-1.9e-05	-1.9e-05	-0.001991
82	-0.004785	0.008035	-0.00347	-1.9e-05	-0.001498	-0.002813	-0.003799	0.000146	0.000146	-0.005443
83	-0.005443	0.006227	-0.00232	-0.000183	0.003597	-0.002813	-0.005936	0.00031	0.000146	-0.002484
84	-0.005607	0.005569	-0.005443	-0.000841	0.000803	-0.000183	-0.005114	0.000146	-0.000183	-0.004949
85	-0.005278	0.006391	-0.00232	0.002611	0.000967	-0.002977	-0.004785	0.001954	0.000146	-0.002155
86	-0.010373	0.005898	-0.000183	-0.001662	-0.000512	-0.001498	-0.004949	-0.001005	-1.9e-05	-0.002484
87	-0.006922	0.00787	-0.001827	-0.003799	0.00031	-0.000841	-0.004949	0.000474	-0.000183	-0.001662
88	-0.009223	0.008199	0.000474	-0.001005	-0.001169	-0.004128	-0.004621	-0.000512	-0.000183	-0.00347
89	-0.008565	0.006227	-0.001005	0.001132	-0.001169	-0.0061	-0.008072	-0.000512	-0.000347	-0.004456
90	-0.008237	0.005405	-0.002813	-0.00232	-0.001005	-0.004621	-0.008072	-0.000676	-0.000347	-0.005443
91	-0.007908	0.007706	-0.002648	-0.000183	-0.001991	-0.002977	-0.00347	0.000146	-0.000183	-0.004128
92	-0.005278	0.002775	-0.008072	0.000146	0.000803	-0.004949	-0.004128	-0.001169	-0.000183	-0.002813
93	-0.005607	0.008857	-0.005114	-0.001334	-0.001169	-0.002484	-0.00232	-0.000676	0.000146	-0.002813
94	-0.005771	0.005569	-0.0061	0.000146	0.001789	-0.001991	-0.005936	-0.000841	-1.9e-05	-0.005443
95	-0.006264	0.008692	-0.003799	-0.000183	-0.000347	-0.005771	-0.000676	-0.001169	0.000146	-0.001991
96	-0.004785	0.006884	-0.004128	0.001789	0.000967	-0.005936	-0.004456	0.000967	-1.9e-05	-0.003635
97	-0.005607	0.00787	-1.9e-05	0.003926	0.001132	-0.002977	-0.002155	0.002282	0.000146	-0.002813
98	-0.005771	0.006884	-0.004292	0.001132	0.000803	-0.003799	-0.003963	-0.000512	-0.000183	-0.005607
99	-0.00988	0.010336	-0.001662	0.003104	0.00031	-0.000841	0.000803	0.000803	-0.000183	0.000639
100	-0.005443	0.009021	-0.00232	0.00409	0.002282	-0.004456	-0.005936	0.000474	-0.000347	-0.00232
101	-0.007579	0.004583	-1.9e-05	0.003433	0.001954	-0.00232	-0.004128	-0.000512	-0.000347	-0.007415
102	-0.006429	0.006227	-0.002155	0.002447	-0.001334	-0.002155	-0.004456	0.000803	-0.000183	-0.002484
103	-0.010702	0.004748	-0.00347	-0.000183	-0.000676	-0.003799	-0.005114	-0.000676	-1.9e-05	-0.003635
104	-0.005278	-0.001005	-0.001991	-0.000347	0.000146	-0.002648	-0.004456	0.000474	0.000146	-0.001662
105	-0.008401	-0.00232	-0.000183	0.000146	0.000474	-0.001827	-0.006593	0.000639	0.000146	-0.0061
106	-0.009716	0.001789	-0.001334	-1.9e-05	0.000803	-0.000183	-0.007415	-0.001334	-1.9e-05	-0.001334
107	-0.005607	-0.000347	-0.002813	-0.001498	0.000639	-0.003635	-0.004456	-0.000676	0.000146	-0.006593
108	-0.005936	-0.001005	-0.003963	-1.9e-05	-0.000841	-0.005443	-0.002813	0.001296	-1.9e-05	-0.004128
109	-0.008565	-0.000347	-1.9e-05	0.000146	-1.9e-05	-0.005114	-0.003635	-0.000841	-0.000183	-0.009223
110	-0.009551	0.005569	-0.004621	-0.000183	-0.001334	0.001296	-0.002155	0.002118	-0.000183	-0.004292
111	-0.00873	-1.9e-05	-0.00347	-1.9e-05	0.00031	-0.000841	-0.006922	0.00031	-0.000183	-0.003635
112	-0.006264	0.000967	-0.001005	-1.9e-05	-0.000512	-0.010045	-0.002155	-0.002155	-0.000183	-0.003142
113	-0.004456	0.000474	-0.009223	-1.9e-05	-0.000512	-0.004949	-0.004292	-0.001827	-0.000183	-0.008565
114	-0.007086	0.000803	-0.002813	0.000146	-1.9e-05	-0.004292	-0.001827	0.000639	-1.9e-05	-0.003799
115	-0.00347	-0.001498	-0.001498	-1.9e-05	0.004583	-0.005771	-0.005936	-0.00232	-1.9e-05	-0.004128
116	-0.005936	0.002118	-0.001991	-1.9e-05	0.000474	-0.007086	-0.0061	0.000146	-1.9e-05	-0.00725
117	-0.003142	0.000803	0.00031	-0.000183	0.00031	-0.002484	-0.00873	-0.000347	-1.9e-05	-0.001662
118	-0.004949	0.002447	-0.003635	-0.000183	-0.000183	-0.000347	-0.005278	0.004419	0.000146	-0.001169
119	-0.003306	-0.001005	-0.005114	-1.9e-05	-1.9e-05	-0.006264	-0.006593	-0.001169	-1.9e-05	-0.00232
120	-0.007744	-0.000676	0.000474	0.000146	-0.002155	-0.00347	-0.005114	-0.001991	-0.000347	-0.003799
121	-0.004785	0.004419	0.000146	-1.9e-05	-0.00347	-0.001827	-0.003635	-0.002155	-0.000347	-0.000676
122	-0.00873	0.000967	-0.005771	0.000146	-0.005114	-0.004456	-0.0061	-0.002155	-0.000183	-0.003799
123	-0.006757	0.002611	0.000967	0.000146	-0.005443	-0.001498	-0.003306	-0.000676	-0.000347	-0.004785
124	-0.003142	-0.009551	-0.001498	0.00031	-0.004621	-0.00347	-0.005607	0.000803	-0.000183	-0.004621
125	-0.005114	0.001954	-0.004292	-0.000183	-0.00873	-0.002813	-0.004456	-0.002155	-1.9e-05	0.000146
126	-0.006922	-0.00347	-0.003142	-0.000183	-0.002813	-0.003799	-0.007744	-0.00232	-1.9e-05	-0.004949
127	-0.002977	-0.000183	-0.001827	0.000639	-0.004785	-0.002484	-0.001662	-0.00232	0.000146	-0.003142
128	-0.000183	-0.003635	-0.004949	-0.000347	-0.001005	-0.003306	-0.00725	0.000967	-1.9e-05	-0.00232
129	-0.004949	-0.002484	-0.000512	-0.011688	0.00031	-0.001827	-0.001005	-0.017276	-1.9e-05	-0.001991
130	0.000639	0.001789	-0.001169	0.000146	0.004255	-0.004128	-0.003306	-0.005936	-1.9e-05	-0.002813
131	-0.00873	-0.000183	0.001132	-1.9e-05	-0.001334	-0.002648	0.000639	-0.007086	-1.9e-05	-0.005936
