Ladekurvenmessung
Zeit: 2018_05_03 14.54.03
Info: SHC320, v = 0.614, T = 40, F = 20, h = 461.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
0	-0.003306	-0.001498	-0.001662	-0.001662	-0.000676	0.001954	-0.005771
1	-0.001827	-0.001827	-0.002648	-0.000841	-0.001169	0.000639	0.002118
2	-0.002155	-0.003306	0.000967	-0.003306	-0.00232	0.002118	-0.002484
3	-0.00347	-0.001498	-0.002155	-0.00347	-0.001005	0.003104	-1.9e-05
4	-0.001169	-0.002648	-0.003963	-0.003142	-0.002155	0.000639	-0.000676
5	-0.000347	-0.000512	-1.9e-05	-0.001005	-0.003963	0.000639	-0.001991
6	-0.000183	-0.001005	-1.9e-05	0.002447	-0.009551	-0.001169	-0.00232
7	-0.001662	0.000803	-0.008237	0.00031	-0.004621	0.003104	-0.001498
8	0.000474	-0.001662	-0.002648	0.004748	-0.001169	-0.00232	-0.001662
9	-0.000676	0.001296	-0.002155	-0.000841	-0.002155	0.000146	0.00031
10	0.001625	0.003597	-0.001662	0.002118	-0.004128	-1.9e-05	-0.001991
11	-0.004456	-0.002155	-0.001662	-0.001005	0.000803	0.001132	-0.006593
12	0.001132	-0.001498	0.003926	0.003926	-0.002648	-0.00232	0.001296
13	-0.001991	0.001789	-0.004621	-0.002484	-0.001991	-1.9e-05	-0.002813
14	0.000967	-0.009716	0.001296	0.001954	-0.002155	0.00031	-0.001498
15	-0.001334	-0.005443	-0.001662	-0.001334	0.000474	0.002611	-0.001827
16	-0.005936	-0.003306	0.001132	0.001296	0.000967	-0.000183	-0.002155
17	-0.002484	-0.004785	-0.001827	-0.002155	0.001789	-0.001334	-0.002155
18	-0.002484	0.001132	-0.001334	-0.002155	-0.001169	0.004912	0.001625
19	-0.002484	-0.003142	-0.004785	0.000967	0.002447	-0.001498	-0.001169
20	-0.001498	-0.003306	-0.003635	0.000803	-0.000183	0.001296	-0.002977
21	-0.00347	-0.001005	-0.005114	-0.002977	-0.001169	0.00294	-0.003799
