Ladekurvenmessung
Zeit: 2018_05_03 14.56.13
Info: SHC320, v = 0.886, T = 40, F = 20, h = 530.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9
0	0.001954	0.001789	0.005241	0.003926	-0.000512	0.000967	0.002118	-0.000347	-1.9e-05
1	0.004419	0.000474	0.005405	-0.000512	0.002611	0.000639	0.00294	0.003926	0.005405
2	0.006391	-0.00347	0.008035	0.000639	-0.002977	0.003104	-0.001334	0.009021	0.00409
3	0.002611	-0.004292	0.006227	-0.002155	0.000474	0.005734	0.004419	0.000967	0.001954
4	0.002447	0.00146	0.005241	0.001789	-0.001169	0.004419	0.001954	0.000146	0.003268
5	0.001296	-0.000183	0.010829	0.003268	0.006391	0.003104	-0.000183	0.004912	0.000639
6	0.002447	0.001296	0.004748	-0.000512	0.000474	0.003104	0.002447	0.000967	-0.001827
7	0.003433	0.003268	0.004748	0.001132	0.004419	0.004748	-0.000512	-0.000841	-0.001991
8	0.000967	0.002447	0.006556	0.003104	0.001132	0.001954	0.000967	0.002118	0.000474
9	0.007542	0.005076	0.009021	0.000474	0.005076	0.006391	0.001296	0.001954	-0.002484
10	0.005076	0.002118	0.005241	0.003104	0.002118	0.006062	0.00031	0.001132	-0.001662
11	0.000474	0.002775	0.001625	0.001789	0.002775	0.003268	0.000639	0.00409	0.002282
12	0.003597	0.001296	0.000639	0.000967	0.006556	0.004419	0.003597	0.001789	0.000803
13	0.004748	0.002447	-0.00232	0.003926	0.002611	0.002611	0.000639	0.001625	-0.000183
14	0.003104	-1.9e-05	-0.001334	0.004748	0.003433	0.003104	0.004748	-0.001662	0.001789
15	0.001789	0.003597	0.004748	0.002611	-0.002813	0.003268	0.002118	-0.001498	0.00031
16	0.000146	-0.001169	0.002282	0.001625	0.003104	0.001132	0.004912	0.001296	0.005405
17	0.001954	0.004748	0.000639	0.007706	0.001296	-0.000183	0.00294	0.00031	0.001954
18	0.000639	0.003597	0.000474	0.00146	0.00146	0.001789	0.001789	0.001789	0.004419
19	-1.9e-05	0.000803	0.00294	0.004748	0.000639	0.001954	0.001132	0.002118	0.000146
20	0.000146	0.001625	0.004583	0.001132	0.003926	-0.000512	0.001625	-0.001169	0.00146
21	0.000146	0.002775	0.006556	0.006227	0.002118	0.004255	-0.003963	-0.001662	0.004912
22	-0.000676	-0.000676	0.001625	0.00294	0.004912	0.003761	-0.000841	0.002775	0.003433
23	0.00031	-0.000512	0.00146	0.002447	0.003104	0.000146	0.002118	-0.000347	0.000803
24	-0.001334	0.00146	0.001132	0.001954	0.006062	0.005405	-0.000512	0.000474	0.001132
25	-0.015961	0.000146	0.004419	0.003268	0.001625	0.002118	-0.000512	0.00031	0.001789
26	-0.001662	0.002282	0.002611	0.002447	0.003597	0.005076	0.00294	0.003926	0.000639
27	-0.002813	-0.002484	0.007542	-0.001498	0.008363	0.003926	0.003268	-1.9e-05	0.003926
28	-0.001169	0.003926	-0.001334	0.007377	0.004255	0.00294	0.002447	0.000146	0.002282
29	-0.000347	0.001625	0.001132	0.000639	0.004912	0.005241	0.006062	0.00146	0.003268
30	-0.000512	0.003597	0.00031	0.004583	0.002282	0.002447	0.00146	0.001296	-0.001991
31	-0.001005	0.000967	-1.9e-05	0.003761	0.00672	0.002611	0.003433	0.002447	0.000474
32	-0.000841	0.004583	0.000803	0.003104	0.001954	0.001296	0.000803	-0.00232	0.00031
33	0.002611	0.001132	0.000146	0.001789	0.004419	0.004912	0.002611	0.003433	0.005076
34	0.002447	-0.000512	0.001132	0.005898	0.005405	-0.000183	0.001296	0.005569	0.00409
35	0.007706	-0.001334	-0.001334	0.001789	0.003761	0.001625	0.000146	0.001296	0.001789
36	0.003104	-0.000347	0.003268	0.003104	0.00031	-0.003799	0.003268	0.000803	0.005734
37	-0.002813	-0.001169	0.000146	0.002447	0.002118	0.006062	0.00031	0.002118	0.003597
