Ladekurvenmessung
Zeit: 2018_05_04 09.02.46
Info: FVA3, v = 0.749, T = 23, F = 20, h = 374.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	-0.000676	-0.005278	0.001954	0.001132
1	0.001625	0.002447	0.005569	0.00146
2	0.000639	0.002282	0.00409	0.001954
3	0.001789	0.003761	0.003433	0.00409
4	0.003104	0.002775	0.001132	0.003268
5	0.002118	0.002611	0.004748	0.001789
6	0.004912	0.000639	0.002118	0.000639
7	0.00031	0.003761	0.001625	0.003433
8	0.000967	-0.001662	0.002447	0.003761
9	0.000474	0.004419	0.002775	-0.000512
10	0.003268	0.003104	0.000803	0.004912
11	0.001296	-0.007744	0.001789	0.001625
12	0.003104	0.001296	0.001625	0.000474
13	0.004583	-0.000841	0.002447	0.004583
14	0.002775	0.002447	0.003597	0.001954
15	0.002118	0.003268	0.00031	0.00146
16	0.002447	0.003597	0.004419	0.000639
17	0.001789	0.001625	0.001789	0.000146
18	0.000803	0.00294	0.001132	0.00146
19	-0.000183	0.002118	-1.9e-05	0.00409
20	-0.001169	0.004255	0.002611	0.000474
21	0.00146	0.001132	0.002118	0.001296
22	-0.00347	-0.008237	0.001296	-0.001005
23	0.001954	0.001296	0.00146	0.001296
24	0.00146	0.002282	0.000474	0.001132
25	0.001132	-0.001827	0.001789	0.003104
26	-0.001169	-0.000183	0.00031	-0.001498
27	0.003597	-0.001334	-0.000841	0.00294
28	0.002118	0.001954	-0.000347	0.001625
29	0.00294	0.001296	0.001132	0.004912
30	0.003761	0.000639	0.000803	0.002447
31	0.001625	0.002282	0.002118	0.000803
32	0.000967	0.002447	0.001132	0.001132
33	-0.001005	0.002775	0.00146	-0.001827
34	0.00294	-0.000841	-0.001169	0.000146
35	0.002611	0.003433	-0.000183	0.002447
36	0.003761	-0.002484	0.002611	0.002282
37	0.001954	0.003926	0.000474	-0.001169
38	0.005241	0.001789	0.001954	0.001954
39	0.000967	0.002118	-1.9e-05	-0.000676
40	0.002447	0.001296	0.000639	0.00294
41	0.000967	-0.000183	0.001954	-0.000183
42	0.001789	-0.000183	-0.000676	0.001132
43	0.002118	0.003433	0.000146	-0.002155
44	0.002447	0.004748	-0.002648	0.000146
45	0.001954	-0.000841	-0.002155	0.000803
46	0.000146	0.002447	0.001789	0.000967
47	0.003268	0.00146	0.001296	0.001625
48	0.004583	0.001954	0.000639	-0.000183
49	0.004419	0.00031	-1.9e-05	0.002611
50	-0.000512	0.004255	0.001296	-0.001991
51	0.00409	0.000967	0.001132	0.002282
52	-1.9e-05	0.004583	0.002118	0.002447
53	0.005076	0.001625	0.000967	0.003268
54	0.002447	0.003268	0.003761	-0.00725
55	-0.001827	0.008199	0.00146	0.000967
56	0.002775	0.000146	0.001789	-0.003306
57	0.001625	0.000639	0.001954	0.001789
58	-0.000183	0.006227	0.003597	0.001954
59	0.000967	0.00146	0.002118	-0.000512
60	0.003926	0.000639	-0.000512	0.001296
61	-1.9e-05	0.002447	-1.9e-05	0.000146
62	-0.000676	0.001296	0.001789	-0.001005
63	0.001954	0.004583	0.002282	-0.000676
64	0.003761	0.002118	0.001132	-0.000512
65	0.003761	0.001132	0.00294	-0.002484
66	0.002447	0.005734	-1.9e-05	-0.000841
67	0.001789	0.001296	-1.9e-05	-0.000183
68	0.003926	-1.9e-05	-0.003306	-0.000183
69	-0.001827	0.003433	0.002611	-1.9e-05
70	-0.000512	0.002775	-0.000841	-0.000183
71	0.003433	0.003104	0.000639	0.000146
72	0.000146	0.002611	-0.000183	-0.000183
73	-0.000347	-0.001005	0.006556	-0.000512
74	0.000639	0.00031	0.001625	-0.000347
75	-0.000347	0.000146	-0.001991	-0.000676
76	0.000803	-0.002155	0.003268	-0.000183
77	-1.9e-05	-0.001827	0.000474	-0.000512
78	0.001296	0.002775	0.002447	0.000146
