Ladekurvenmessung
Zeit: 2018_05_04 09.08.15
Info: FVA3, v = 1.05, T = 23, F = 20, h = 518.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6
0	0.001296	0.001132	0.002447	-0.004128	-0.000512	-0.003306
1	0.000146	0.001954	0.005076	-0.002813	0.002447	0.002282
2	-1.9e-05	0.004583	0.001954	-0.000347	0.002282	-0.002484
3	0.000639	0.004255	0.00031	0.000967	0.000474	-0.001827
4	-0.001662	0.002447	0.003433	0.001132	0.001954	0.001296
5	-0.000347	0.002775	0.004255	0.004912	0.001954	0.000803
6	-0.000841	0.000803	0.000803	0.00031	0.001296	-0.000183
7	0.001789	0.001625	0.002118	0.003268	0.001625	0.001132
8	-0.000347	0.002611	0.000803	-1.9e-05	-0.003963	0.000803
9	0.000967	0.001625	0.003268	0.00294	0.002118	0.001625
10	0.001132	0.001789	0.002775	0.00031	-0.000512	0.001789
11	0.001132	0.002118	0.001296	0.000639	0.000146	-1.9e-05
12	0.003597	-0.001334	-0.001662	0.001954	-0.002813	0.003104
13	0.001789	0.002447	-0.000676	0.002447	-0.001169	0.000967
14	0.001789	-0.000841	0.000803	0.001132	-0.00347	-0.000347
15	0.00031	0.002447	0.002775	0.002611	0.000146	0.001789
16	0.000474	-0.001498	0.001132	0.001789	-0.000183	-0.001662
17	-0.000347	0.001625	0.002282	0.001789	-0.000676	-0.001005
18	-0.000183	0.007542	0.00409	0.001296	0.000474	0.004255
19	-0.002155	0.00294	0.000639	0.000639	-1.9e-05	-0.001498
20	0.001954	-1.9e-05	0.004419	0.001132	0.00146	0.001132
21	-0.001991	0.003268	0.002775	-0.002484	-0.003635	0.001296
22	0.004255	0.001954	0.006062	0.001954	0.002611	-0.001991
23	0.001132	0.001625	0.000803	0.002611	0.001296	0.000639
24	0.003761	0.002775	0.002118	0.002447	-0.00232	-0.000512
25	-0.000841	0.000803	0.001296	-0.000676	-0.001005	-0.001827
26	0.00409	0.002118	-0.000347	0.001625	0.000146	-0.000512
27	0.003761	-0.000841	-0.003142	0.002447	-0.002648	0.000803
28	0.003268	0.000474	-0.000183	0.001789	-0.00232	-0.000841
29	0.003926	0.000474	-0.000347	-0.001334	0.001296	0.000474
30	0.001625	-0.001169	-0.00232	0.002447	-0.002813	-0.001334
31	0.002775	-0.000676	0.003926	0.00409	0.001625	0.000967
32	0.002282	-1.9e-05	0.005734	0.000639	0.000146	-0.000841
33	0.00409	0.000474	0.004255	0.001132	0.002447	0.003433
34	0.001625	0.00031	0.003268	0.001132	-1.9e-05	-0.000347
35	0.00294	0.001296	0.003433	0.000474	0.002447	0.001296
36	0.003104	-0.003142	0.002611	-0.001827	-0.000841	0.001954
