Ladekurvenmessung
Zeit: 2018_05_04 09.57.12
Info: FVA3, v = 0.533, T = 23, F = 20, h = 381.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5
0	-0.001498	-0.000841	0.000639	-0.000841	-0.005443
1	0.00294	0.001296	0.005898	-0.000676	0.001625
2	0.003761	0.001296	0.001296	0.002775	-0.000512
3	0.003926	-0.001334	0.000474	-0.001827	-0.000512
4	0.004912	-0.008072	0.00031	0.000474	0.000803
5	-0.002155	-0.004456	0.000967	0.00031	-0.002484
6	-0.006429	-0.001498	-1.9e-05	0.00294	-0.000183
7	0.000967	-0.000183	-0.000512	0.003597	0.00146
8	-0.0061	-0.002813	-0.001498	0.001954	0.000146
9	-0.001662	-0.001005	0.00031	0.001789	-0.000841
10	-0.002155	0.000474	-0.001334	0.003433	0.004419
11	-0.000347	0.003597	0.001132	-1.9e-05	-0.000512
12	-0.002648	0.001625	-1.9e-05	0.000803	-1.9e-05
13	-0.000512	0.003597	0.00031	0.005241	-0.000841
14	-1.9e-05	0.000803	0.000146	0.000639	0.00146
15	0.001954	-0.00725	0.000474	-1.9e-05	-0.001005
16	-0.000512	-0.001169	0.000146	0.000146	0.001296
17	-0.000347	0.004912	0.000146	0.000639	-0.002648
18	0.000146	0.002118	0.001789	-0.002648	-0.004785
19	0.003926	0.000639	0.000803	-0.001498	-0.00347
20	-0.003306	-0.000512	-1.9e-05	-0.001334	-0.00347
21	-0.002155	0.001954	-0.000512	-0.002813	-0.002813
22	-0.001334	-0.000841	-1.9e-05	-0.00347	-0.003799
23	-0.000676	-0.000183	-1.9e-05	-0.001827	-0.001827
24	0.00409	-0.001498	0.00031	0.000639	-0.001169
25	-0.001991	0.000474	0.000146	0.002447	0.003104
26	0.003268	-0.005443	-1.9e-05	0.003761	0.00031
27	-0.003963	-0.000183	0.00031	0.00146	0.002118
28	-0.004785	-0.000347	-0.002648	0.000639	-0.000676
