Ladekurvenmessung
Zeit: 2018_05_04 11.38.33
Info: FVA3, v = 1.47, T = 80, F = 20, h = 214.9
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
0	0.005898	0.002447	-0.00725	0.002447	0.012801	0.018389	0.00672
1	0.011815	0.002611	-0.0061	0.004583	0.009021	0.023484	0.008035
2	0.011158	0.004419	-0.005771	0.002775	0.010993	0.023649	0.0105
3	0.011979	0.003433	-0.00725	0.003433	0.007377	0.02447	0.006391
4	0.011486	0.000967	-0.009387	0.003433	0.00787	0.021348	0.007377
5	0.014609	0.002282	-0.011852	0.00294	0.005405	0.02447	0.007377
6	0.012965	0.000803	-0.012181	0.004583	0.002775	0.020362	0.005569
7	0.012308	0.001296	-0.013003	0.00294	0.004419	0.022991	0.006227
8	0.009843	-1.9e-05	-0.012181	0.00409	0.002282	0.023977	0.006391
9	0.013623	-0.002648	-0.008237	0.004583	0.003926	0.022005	0.004583
10	0.01428	0.000146	-0.005936	0.003597	-0.004128	0.022827	0.00787
11	0.011979	0.004255	-0.008565	0.000967	-0.00232	0.024142	0.009185
12	0.018389	0.00146	-0.004785	-0.000512	0.000803	0.022827	0.005405
13	0.013294	0.006391	-0.001005	0.004912	0.00146	0.022991	0.007377
14	0.013623	0.005076	0.000474	0.002447	0.000639	0.02595	0.006062
15	0.012144	0.007706	0.00146	0.00409	-0.000183	0.029401	0.006062
16	0.01428	0.00294	0.000967	0.00146	0.000474	0.021019	0.009185
17	0.010336	0.007706	-0.002813	0.002282	0.000803	0.023649	0.009514
18	0.010007	0.004255	-0.000512	0.000803	0.00146	0.02447	0.007706
19	0.013787	0.004583	-0.000676	0.003268	0.000639	0.02332	0.005241
20	0.016746	0.005734	-0.000347	0.000967	0.000146	0.024635	0.005734
21	0.012472	0.004419	-0.001498	0.002282	-0.001662	0.022827	0.007213
22	0.018225	0.005734	-0.000676	0.001296	-0.000512	0.025128	0.009678
23	0.02332	0.004255	-0.000676	0.003926	-0.003635	0.025128	0.011815
24	0.015595	0.004912	0.000803	0.003597	-0.000676	0.026607	0.010171
25	0.017239	0.002447	-0.000183	0.001789	-0.005936	0.02595	0.012144
26	0.017074	0.005569	0.001625	0.002118	-0.002484	0.024306	0.00935
27	0.018718	0.00409	-0.004949	-0.000183	-0.001662	0.022498	0.014609
28	0.018225	0.00672	-0.001662	0.001296	-0.005114	0.025457	0.014116
29	0.020526	0.004419	-0.00232	0.001296	-0.001334	0.025292	0.012637
30	0.01954	0.005734	-0.000347	0.00146	-0.001334	0.025292	0.013952
31	0.018061	0.00409	-0.001334	0.000474	-0.00347	0.027593	0.01691
32	0.017896	0.004748	0.001789	0.002447	-0.002484	0.022991	0.008528
33	0.02069	0.00294	0.004912	0.000146	-0.007415	0.026936	0.011158
34	0.018225	0.005076	0.006062	0.000803	-0.003799	0.025785	0.015595
35	0.019375	0.001625	0.011486	-0.001827	-0.006429	0.026443	0.012308
36	0.01954	-0.000676	0.00935	-0.001334	-0.0061	0.027922	0.016088
37	0.020033	0.003926	0.014609	-0.001334	-0.00725	0.03236	0.01576
38	0.022005	-0.001169	0.011486	-0.002977	-0.006593	0.027593	0.018554
39	0.020526	0.002611	0.009678	-0.001662	-0.008565	0.0271	0.005241
40	0.022334	0.001789	0.008363	0.002775	-0.008565	0.030059	0.002611
41	0.022827	-0.000183	0.010171	0.000639	-0.005936	0.027265	0.005734
42	0.023484	0.003433	0.014116	0.00146	-0.010373	0.028415	0.008857
43	0.023484	0.005734	0.01428	0.001132	-0.004949	0.0271	0.013623
44	0.024142	0.002282	0.015924	0.001296	-0.003799	0.027758	0.015431
45	0.014773	0.005405	0.014938	0.000146	-0.004621	0.030059	0.018061
46	0.023649	0.002282	0.018554	0.000474	-0.006922	0.029401	0.016581
47	0.024142	0.004583	0.01691	0.000146	-0.007744	0.031702	0.018718
48	0.02595	0.002775	0.018718	-0.002977	-0.005278	0.025457	0.022005
49	0.022334	0.004583	0.023484	0.001132	0.001132	0.023813	0.021183
50	0.021676	0.005898	0.018718	-0.001991	-1.9e-05	0.029072	0.023156
51	0.020033	0.004912	0.011651	0.001954	0.001132	0.028744	0.022334
52	0.020526	0.005241	0.007049	-0.000676	0.001954	0.027922	0.021841
53	0.019704	0.005569	0.000639	0.000474	0.001625	0.028086	0.021512
54	0.020526	0.00787	0.000146	-0.001334	0.000967	0.029072	0.023977
55	0.020362	0.004748	0.002775	-0.001334	0.002447	0.023813	0.021183
56	0.013294	0.006227	0.001296	0.000803	0.001296	0.031045	0.023156
57	0.018389	0.00146	0.001132	0.000146	0.001789	0.026936	0.020362
58	0.019211	-0.002648	0.004419	0.00031	0.00146	0.025621	0.015266
59	0.022005	-0.008072	-0.000676	-0.000676	0.002118	0.018554	0.021676
60	0.021183	-0.007415	0.001132	0.000146	0.003268	0.024964	0.015924
61	0.023977	-0.005607	0.00031	-0.001005	0.001132	0.021512	0.019704
62	0.021512	-0.001498	0.001132	0.00031	0.002118	0.023977	0.016253
63	0.024635	-0.002813	0.000474	-0.001005	0.001132	0.020855	0.019375
64	0.024306	-0.001991	0.000146	-0.010538	0.003597	0.018882	0.019375
65	0.024142	-0.001662	0.000803	-0.010209	0.00146	0.021183	0.021512
66	0.021841	-0.009058	-0.000841	-0.008237	0.000474	0.018718	0.02069
67	0.019375	-0.000841	0.00146	-0.009387	0.000474	0.022498	0.015102
68	0.021676	-0.003306	0.004419	-0.00725	0.007706	0.019868	0.015102
69	0.026278	-0.007908	0.003761	-0.005771	0.005569	0.020033	0.006391
70	0.023977	-0.002813	0.00409	-0.006593	0.008363	0.016253	0.00787
71	0.025292	-0.003142	-0.00347	0.000146	0.010171	0.015431	0.006556
