Ladekurvenmessung
Zeit: 2018_05_17 15.15.39
Info: Ref. Messung mit 100 pF
Ladewiderstand[Ohm]: 1015000
Strkapazitt[pF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzgerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	0.003268	0.003433	0.003597	0.00294	0.003268	0.003761	0.003433	0.003268	0.00294	0.003104
1	0.003597	0.003597	0.003597	0.003433	0.003268	0.003597	0.003761	0.00409	0.003104	0.003433
2	0.00409	0.003761	0.003761	0.00294	0.003268	0.003433	0.003761	0.003597	0.003433	0.003268
3	0.003597	0.003597	0.003433	0.003268	0.003597	0.003926	0.003926	0.003268	0.003268	0.003268
4	0.004255	0.003597	0.003761	0.003433	0.003104	0.003761	0.003433	0.003926	0.003433	0.003268
5	0.003597	0.003268	0.003433	0.002775	0.003433	0.003926	0.003597	0.003761	0.003597	0.003104
6	0.003761	0.003433	0.003597	0.003597	0.00294	0.003597	0.003433	0.003597	0.003597	0.003268
7	0.00409	0.003597	0.003597	0.003104	0.003433	0.003761	0.003433	0.003926	0.003597	0.002775
8	0.003597	0.003268	0.003433	0.003433	0.003268	0.004419	0.003761	0.003597	0.00294	0.003268
9	0.004255	0.003597	0.00409	0.003761	0.003268	0.003268	0.003268	0.003926	0.003433	0.00294
10	0.003597	0.003104	0.003597	0.003104	0.003761	0.003926	0.003926	0.003268	0.003597	0.003268
11	0.003433	0.003433	0.003761	0.003597	0.003268	0.003761	0.003597	0.003433	0.003268	0.003433
12	0.003926	0.003268	0.003268	0.003433	0.003761	0.003761	0.003761	0.003268	0.003597	0.00294
13	0.003268	0.00294	0.003104	0.003268	0.003597	0.00409	0.003597	0.003268	0.003104	0.003268
14	0.003597	0.003597	0.003433	0.003597	0.003597	0.003268	0.003433	0.003761	0.003433	0.003433
15	0.003761	0.00294	0.003268	0.003104	0.003761	0.003597	0.003926	0.003268	0.00294	0.003268
16	0.003433	0.003597	0.003104	0.003433	0.003268	0.003597	0.003268	0.003268	0.00294	0.003268
17	0.003761	0.003597	0.003268	0.003104	0.003597	0.003433	0.003104	0.003433	0.003268	0.003104
18	0.003268	0.003268	0.003268	0.003268	0.003597	0.003761	0.003761	0.003433	0.00294	0.003104
19	0.003597	0.003926	0.003268	0.003268	0.003268	0.003268	0.003268	0.003761	0.003433	0.003268
20	0.003268	0.003433	0.00294	0.003104	0.003926	0.003761	0.003761	0.003268	0.003104	0.002775
21	0.003597	0.003433	0.003761	0.003268	0.003433	0.003761	0.003268	0.003433	0.003104	0.003104
22	0.003597	0.003597	0.003433	0.002775	0.003597	0.003268	0.003433	0.003761	0.003104	0.002611
23	0.003268	0.003597	0.003104	0.003104	0.003268	0.003597	0.00409	0.003597	0.003433	0.003268
24	0.003597	0.003761	0.003433	0.003268	0.00294	0.003597	0.003433	0.003761	0.003268	0.003268
25	0.003268	0.003597	0.003268	0.002775	0.00409	0.004255	0.003761	0.003268	0.003104	0.002447
26	0.003433	0.003104	0.003597	0.003268	0.003268	0.003597	0.003268	0.003268	0.002775	0.003104
27	0.003761	0.003597	0.003597	0.003104	0.003761	0.003268	0.003761	0.003761	0.003433	0.003104
28	0.003433	0.003433	0.003597	0.003597	0.003268	0.003926	0.003761	0.00294	0.00294	0.003433
29	0.00409	0.003761	0.003597	0.003268	0.003433	0.003268	0.003268	0.003433	0.003268	0.003268
30	0.003597	0.003433	0.003597	0.002775	0.003761	0.003597	0.003597	0.003268	0.00294	0.003104
31	0.003433	0.003268	0.003597	0.003597	0.003433	0.003761	0.003433	0.003268	0.00294	0.003268
32	0.003926	0.003433	0.003268	0.003268	0.003597	0.003104	0.003433	0.003268	0.003268	0.00294
33	0.003268	0.002775	0.003268	0.003268	0.003761	0.003761	0.003433	0.003268	0.002775	0.003433
