Ladekurvenmessung
Zeit: 2018_05_23 14.43.08
Info: T40, F20N, 1.78
Ladewiderstand[Ohm]: 10000000
Strkapazitt[pF]: 100.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 3000.000000
Verzgerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16	Kurve_17	Kurve_18	Kurve_19	Kurve_20	Kurve_21	Kurve_22	Kurve_23	Kurve_24	Kurve_25	Kurve_26	Kurve_27	Kurve_28	Kurve_29	Kurve_30	Kurve_31	Kurve_32	Kurve_33	Kurve_34	Kurve_35	Kurve_36	Kurve_37	Kurve_38	Kurve_39	Kurve_40	Kurve_41	Kurve_42	Kurve_43	Kurve_44	Kurve_45	Kurve_46	Kurve_47	Kurve_48	Kurve_49	Kurve_50	Kurve_51	Kurve_52	Kurve_53	Kurve_54	Kurve_55	Kurve_56	Kurve_57	Kurve_58	Kurve_59	Kurve_60	Kurve_61	Kurve_62	Kurve_63	Kurve_64	Kurve_65	Kurve_66	Kurve_67	Kurve_68	Kurve_69	Kurve_70	Kurve_71	Kurve_72	Kurve_73	Kurve_74	Kurve_75	Kurve_76	Kurve_77	Kurve_78	Kurve_79	Kurve_80	Kurve_81	Kurve_82	Kurve_83	Kurve_84	Kurve_85	Kurve_86	Kurve_87	Kurve_88	Kurve_89	Kurve_90	Kurve_91	Kurve_92	Kurve_93	Kurve_94	Kurve_95	Kurve_96	Kurve_97	Kurve_98	Kurve_99	Kurve_100
0	-0.018098	-0.015633	-0.022207	-0.0227	-0.022207	-0.022864	-0.0227	-0.02155	-0.024179	-0.025658	-0.023193	-0.009716	-0.015304	-0.022043	-0.015797	-0.021056	-0.024179	-0.020399	-0.016126	-0.022371	-0.02007	-0.011852	-0.021221	-0.015304	-0.022371	-0.018262	-0.020399	-0.020892	-0.010209	-0.016948	-0.012674	-0.005771	-0.020728	-0.010538	-0.022864	-0.010702	-0.01366	-0.00988	-0.014318	-0.015468	-0.027138	-0.008237	-0.010045	-0.009716	-0.006922	-0.005443	-0.004456	-0.003142	-0.001498	-0.001662	-0.000841	-0.001498	0.000474	-0.006264	-0.002484	0.001625	-0.003306	0.000474	0.00672	-0.001005	-0.003306	0.000146	0.011486	0.004583	0.000146	0.003268	0.010171	0.013623	0.007377	0.006556	0.004748	0.008857	0.021348	0.007706	0.014609	0.011486	0.017896	-1.9e-05	0.008528	0.007706	0.01428	0.010007	0.012801	0.015102	0.012637	0.029401	0.009021	0.0105	0.014116	0.011815	0.013623	0.012472	0.01576	0.015266	0.016088	0.015595	0.018882	0.014609	0.017567	0.015595
1	-0.017276	-0.013989	-0.018427	-0.021221	-0.02007	-0.024179	-0.021878	-0.019249	-0.021714	-0.022371	-0.020235	-0.007744	-0.015468	-0.019413	-0.01366	-0.019906	-0.019577	-0.018755	-0.015961	-0.017605	-0.020563	-0.013003	-0.017769	-0.014647	-0.020892	-0.016948	-0.014482	-0.019906	-0.00725	-0.014975	-0.011195	-0.004785	-0.02155	-0.00873	-0.015633	-0.013167	-0.011852	-0.007579	-0.010538	-0.01366	-0.024015	-0.009387	-0.010702	-0.007579	-0.003963	-0.003635	-0.006264	-0.002484	-0.000347	0.000474	0.001296	0.001296	-0.000183	-0.00347	0.003104	0.004255	0.001296	-0.001334	0.006391	0.000967	-0.001498	0.003597	0.012637	0.006884	0.002118	0.004912	0.011979	0.017239	0.008363	0.008035	0.010007	0.010664	0.022663	0.010171	0.017074	0.012144	0.023156	0.001132	0.010171	0.010171	0.014773	0.011486	0.017567	0.013623	0.014445	0.030387	0.011486	0.010993	0.013787	0.014445	0.014609	0.013952	0.017403	0.017403	0.015595	0.01576	0.021348	0.017567	0.020197	0.019047
2	-0.016783	-0.014318	-0.022864	-0.019249	-0.01892	-0.022207	-0.020892	-0.017441	-0.024179	-0.022864	-0.020399	-0.009223	-0.014318	-0.01892	-0.014318	-0.019249	-0.019249	-0.018591	-0.015961	-0.02007	-0.017276	-0.00873	-0.017605	-0.010702	-0.020892	-0.018262	-0.01892	-0.020235	-0.00873	-0.015633	-0.00988	-0.003635	-0.017605	-0.009716	-0.017276	-0.009223	-0.011359	-0.009551	-0.013003	-0.014647	-0.023357	-0.005607	-0.008894	-0.009551	-0.006264	-0.0061	-0.00347	-0.001005	-0.001005	-0.000183	0.001132	0.002775	0.002282	-0.004456	-0.001334	0.004748	0.000146	-0.002155	0.008692	0.001132	-0.00232	0.003597	0.013294	0.006227	0.001132	0.005405	0.010993	0.017239	0.00672	0.008363	0.006227	0.011322	0.02332	0.008857	0.015102	0.012472	0.020362	0.001789	0.012472	0.010171	0.014445	0.013623	0.013787	0.015266	0.012637	0.029401	0.010993	0.011158	0.016746	0.013459	0.015102	0.012472	0.017074	0.016088	0.017239	0.017403	0.019047	0.015431	0.018061	0.017403
3	-0.017769	-0.011195	-0.019413	-0.01892	-0.019084	-0.022864	-0.02155	-0.020563	-0.020892	-0.022371	-0.02007	-0.007744	-0.016619	-0.019577	-0.013003	-0.018262	-0.022043	-0.018755	-0.013825	-0.019577	-0.01892	-0.00988	-0.018262	-0.012839	-0.021878	-0.01629	-0.015304	-0.020563	-0.006429	-0.015304	-0.010866	-0.004128	-0.017934	-0.008072	-0.017441	-0.011031	-0.011524	-0.008894	-0.012346	-0.012017	-0.023851	-0.007908	-0.009551	-0.008894	-0.003142	-0.002155	-0.002484	-0.001827	-0.000676	-0.000841	-0.000347	0.001789	0.003268	-0.004456	-0.000183	0.005898	-0.000512	-0.000183	0.00787	0.002118	-0.000841	0.003268	0.015595	0.00787	0.00146	0.005241	0.012472	0.017074	0.008363	0.007049	0.006062	0.010336	0.023156	0.009843	0.01576	0.013294	0.021841	0.005734	0.010993	0.008857	0.007706	0.011651	0.016581	0.015431	0.013459	0.027593	0.011158	0.012144	0.017403	0.01428	0.013623	0.012472	0.018718	0.017403	0.015102	0.016417	0.020197	0.017896	0.01954	0.017403
4	-0.017441	-0.013496	-0.021714	-0.019742	-0.020892	-0.023686	-0.019742	-0.019577	-0.022207	-0.021221	-0.02155	-0.005114	-0.016619	-0.019742	-0.014647	-0.01892	-0.016948	-0.01892	-0.01251	-0.021056	-0.019906	-0.010866	-0.018755	-0.01366	-0.019577	-0.017276	-0.014647	-0.017934	-0.00725	-0.015797	-0.010373	-0.003306	-0.017934	-0.011195	-0.017934	-0.010702	-0.015961	-0.008237	-0.011195	-0.01629	-0.023851	-0.007579	-0.009716	-0.007086	-0.005443	-0.002155	-0.004621	-0.000841	-0.001334	0.002775	-1.9e-05	0.00294	0.002118	-0.004292	0.000474	0.003433	0.000474	-1.9e-05	0.00787	0.00146	-0.001662	0.001789	0.013623	0.002775	0.000146	0.006062	0.010664	0.018225	0.00787	0.008692	0.006391	0.012308	0.023813	0.008363	0.015595	0.012965	0.019868	0.00146	0.008857	0.009678	0.01313	0.012472	0.017732	0.015102	0.013952	0.027429	0.011979	0.012308	0.01576	0.013459	0.015595	0.012472	0.016581	0.017567	0.017239	0.017732	0.017567	0.013459	0.018389	0.016746
5	-0.014811	-0.016783	-0.02155	-0.019906	-0.020235	-0.022536	-0.019577	-0.019577	-0.021385	-0.021056	-0.021056	-0.007744	-0.01366	-0.018755	-0.014975	-0.019906	-0.019906	-0.020399	-0.016126	-0.017934	-0.019906	-0.011524	-0.018098	-0.014811	-0.019906	-0.016948	-0.013989	-0.019413	-0.007579	-0.015633	-0.011688	-0.003635	-0.019577	-0.010209	-0.018262	-0.011359	-0.013167	-0.008401	-0.011688	-0.015633	-0.022371	-0.007579	-0.008894	-0.008401	-0.007086	-0.00347	-0.001991	-0.003306	-0.001662	0.003761	0.00146	0.003104	0.001954	-0.004949	0.000146	0.003433	0.00031	-0.002484	0.008199	0.001625	-0.002813	0.001954	0.011815	0.005405	0.001625	0.002611	0.011158	0.018389	0.00672	0.008528	0.006391	0.011322	0.021512	0.008528	0.016417	0.012637	0.021183	0.004748	0.007377	0.008528	0.013294	0.006884	0.016581	0.011979	0.012472	0.029566	0.009185	0.010664	0.016253	0.013459	0.011815	0.012144	0.017567	0.017074	0.01691	0.017732	0.019704	0.019047	0.01954	0.018554
6	-0.018427	-0.013003	-0.020728	-0.019084	-0.02007	-0.0227	-0.020728	-0.018262	-0.018755	-0.02155	-0.020563	-0.008072	-0.016948	-0.020399	-0.015633	-0.017441	-0.01892	-0.018591	-0.013989	-0.018098	-0.019084	-0.013003	-0.018098	-0.014975	-0.019577	-0.014482	-0.016126	-0.019249	-0.008401	-0.014811	-0.010866	-0.002648	-0.018098	-0.011031	-0.018591	-0.010045	-0.013167	-0.008401	-0.011359	-0.013496	-0.022864	-0.006593	-0.010209	-0.007415	-0.005771	-0.002813	-0.002648	-0.000183	-0.000841	0.001789	0.001954	0.002611	0.001625	-0.005936	-0.001169	0.004748	-0.001498	-0.000347	0.007706	0.000803	-0.000183	0.003433	0.011979	0.005076	0.002775	0.00672	0.010007	0.016088	0.007706	0.009678	0.00787	0.011486	0.024964	0.009185	0.016088	0.014445	0.020197	0.00294	0.008363	0.009185	0.01313	0.0105	0.013952	0.016253	0.01313	0.028579	0.008363	0.012965	0.014938	0.01313	0.014938	0.011322	0.017896	0.017403	0.016746	0.018225	0.018554	0.017732	0.020033	0.018389
7	-0.015468	-0.014318	-0.02155	-0.018591	-0.020399	-0.0227	-0.020728	-0.019413	-0.021878	-0.021878	-0.020563	-0.006593	-0.016454	-0.018262	-0.014153	-0.019249	-0.017605	-0.019249	-0.014153	-0.017769	-0.019906	-0.013003	-0.017276	-0.01366	-0.02007	-0.017605	-0.014811	-0.019577	-0.008072	-0.014647	-0.012346	-0.00347	-0.02007	-0.009058	-0.017934	-0.01251	-0.011359	-0.007908	-0.013167	-0.013496	-0.020399	-0.009716	-0.008401	-0.006922	-0.007579	-0.004292	-0.00232	-0.002813	-0.00232	-0.000512	0.002447	0.003433	0.002775	-0.003799	0.000967	0.005076	-0.000183	-0.001991	0.008363	0.000967	-0.004128	0.00409	0.013294	0.004255	0.001625	0.00409	0.0105	0.017239	0.008363	0.00787	0.009185	0.010993	0.021676	0.009843	0.015924	0.012472	0.019868	0.004255	0.008692	0.008692	0.014116	0.011486	0.0105	0.016417	0.013459	0.029566	0.008692	0.008857	0.01576	0.014938	0.014445	0.011158	0.018718	0.016746	0.019704	0.018554	0.017732	0.017403	0.018225	0.020855
8	-0.019249	-0.01514	-0.022043	-0.020563	-0.020563	-0.021878	-0.021714	-0.017769	-0.020399	-0.0227	-0.020235	-0.007415	-0.014647	-0.02155	-0.014647	-0.018427	-0.019577	-0.019742	-0.012839	-0.017605	-0.020235	-0.012674	-0.020563	-0.014647	-0.018262	-0.017112	-0.013332	-0.020399	-0.008894	-0.01892	-0.011852	-0.003799	-0.019249	-0.011688	-0.019906	-0.010702	-0.012674	-0.008565	-0.012839	-0.013167	-0.025165	-0.008072	-0.011688	-0.009716	-0.006429	-0.003306	-0.002155	-0.000347	-0.001662	0.002282	0.003433	0.000967	0.000639	-0.002484	-0.001005	0.003761	-0.001662	-0.001662	0.00672	0.001132	-0.000676	0.000967	0.012472	0.005241	0.002282	0.002775	0.009185	0.016088	0.007706	0.009678	0.007706	0.011979	0.021841	0.010993	0.013294	0.011322	0.017074	0.002775	0.00787	0.007706	0.013459	0.010993	0.012637	0.016253	0.012144	0.028415	0.011979	0.010664	0.014116	0.012472	0.014938	0.011486	0.018554	0.018882	0.016253	0.018554	0.019211	0.015266	0.020033	0.014773
9	-0.018098	-0.015961	-0.02007	-0.020399	-0.019906	-0.0227	-0.021221	-0.017934	-0.023193	-0.021221	-0.022043	-0.008072	-0.014647	-0.019577	-0.016454	-0.019249	-0.020235	-0.018262	-0.014318	-0.019084	-0.021221	-0.012674	-0.017605	-0.013332	-0.019906	-0.016948	-0.016454	-0.018591	-0.008072	-0.015961	-0.011852	-0.002484	-0.019577	-0.011031	-0.017769	-0.011852	-0.011524	-0.009058	-0.012839	-0.011688	-0.022371	-0.008401	-0.005607	-0.006429	-0.006593	-0.004456	-0.003635	0.003761	-0.001498	-0.000676	-0.002155	0.00294	0.003104	-0.004456	-1.9e-05	0.005241	-0.001498	-0.002155	0.007706	0.001625	-0.000841	0.00146	0.01313	0.00409	0.002282	0.00409	0.012144	0.017732	0.007706	0.008035	0.006884	0.011158	0.020526	0.009185	0.015595	0.01313	0.019375	0.004583	0.007706	0.005734	0.013787	0.011815	0.013623	0.016746	0.012965	0.030223	0.011651	0.011158	0.01691	0.014116	0.012801	0.012801	0.016088	0.018389	0.01691	0.018882	0.018882	0.016581	0.019211	0.017732
