Time,Cp,D
0 s,10.3473 pF,0.0179
1 s,13.052 pF,0.3301
2 s,18.3524 pF,0.4885
3 s,11.1429 pF,0.5489
4 s,11.8036 pF,0.1397
5 s,16.9315 pF,0.4131
6 s,14.9814 pF,0.5749
7 s,13.0069 pF,0.1871
8 s,14.064 pF,0.4168
9 s,11.0989 pF,0.28
10 s,13.4869 pF,0.1407
11 s,9.9119 pF,0.1077
12 s,14.5451 pF,1.1927
13 s,16.7549 pF,0.18
14 s,17.4043 pF,0.3227
15 s,7.1622 pF,0.7123
16 s,9.9438 pF,1.4058
17 s,22.6001 pF,0.3383
18 s,12.0339 pF,1.1538
19 s,10.4163 pF,0.5389
20 s,12.2536 pF,0.0043
21 s,24.1862 pF,0.6784
22 s,13.7816 pF,0.871
23 s,44.2172 pF,1.8725
24 s,14.9735 pF,1.1485
25 s,11.1634 pF,0.6526
26 s,11.3006 pF,0.2847
27 s,13.4424 pF,0.0051
28 s,15.4883 pF,0.0197
29 s,13.0615 pF,0.0243
