Time,Cp,D
0 s,28.1382 pF,56.2877
1 s,27.5655 pF,57.4645
2 s,27.2991 pF,58.0149
3 s,27.8771 pF,56.8341
4 s,27.7319 pF,57.1282
5 s,28.106 pF,56.3672
6 s,27.7131 pF,57.1651
7 s,27.7616 pF,57.0749
8 s,27.5862 pF,57.4251
9 s,27.7087 pF,57.1725
10 s,27.6131 pF,57.381
11 s,27.9752 pF,56.6307
12 s,27.8151 pF,56.962
13 s,27.9992 pF,56.5534
14 s,27.515 pF,57.5777
15 s,27.5957 pF,57.4002
16 s,27.4995 pF,57.5956
17 s,27.937 pF,56.7104
18 s,27.8284 pF,56.9389
19 s,27.4133 pF,57.7797
20 s,27.8708 pF,56.8514
21 s,27.6708 pF,57.2616
22 s,27.1684 pF,58.3027
23 s,28.3249 pF,55.9116
24 s,27.694 pF,57.1909
25 s,27.6281 pF,57.3337
26 s,27.5451 pF,57.4969
27 s,27.1004 pF,58.4618
28 s,27.6129 pF,57.3669
29 s,27.4277 pF,57.7644
