Time,Cp,D
0 s,37.8951 pF,41.8328
1 s,40.941 pF,38.742
2 s,40.6146 pF,38.9982
3 s,41.7546 pF,37.9825
4 s,39.2631 pF,40.4013
5 s,39.5447 pF,40.081
6 s,38.2136 pF,41.5474
7 s,39.879 pF,39.7551
8 s,40.9372 pF,38.7169
9 s,39.3493 pF,40.2765
10 s,35.0236 pF,45.324
11 s,40.5631 pF,39.024
12 s,40.23 pF,39.4315
13 s,40.0827 pF,39.499
14 s,41.0354 pF,38.6218
15 s,16.5422 pF,97.2642
16 s,40.0518 pF,39.5712
17 s,40.1746 pF,39.5116
18 s,39.6303 pF,40.0356
19 s,41.0703 pF,38.6716
20 s,40.2887 pF,39.3843
21 s,37.4679 pF,42.3602
22 s,39.8405 pF,39.8337
23 s,54.5608 pF,29.1257
24 s,39.2293 pF,40.426
25 s,38.4717 pF,41.19
26 s,39.894 pF,39.8467
27 s,40.7653 pF,39.0105
28 s,40.4107 pF,39.2133
29 s,39.607 pF,39.9252
