Ladekurvenmessung
Zeit: 2018_05_02 15.06.03
Info: FVA3, v = 0.0404, T = 40, F = 20, h = 58.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1
0	-2.5e-05
1	-9e-05
2	7.4e-05
3	7.4e-05
4	0.000239
5	0.000107
6	0.000173
7	4.1e-05
8	0.000107
9	-9e-05
10	-0.000123
11	-2.5e-05
12	-0.000255
13	8e-06
14	0.000107
15	4.1e-05
16	0.000206
17	0.000206
18	0.000107
19	4.1e-05
20	-0.000123
21	-2.5e-05
22	-0.000123
23	0.000732
24	-0.000123
25	4.1e-05
26	0.00014
27	0.000173
28	0.000107
29	0.000107
30	8e-06
31	-5.8e-05
32	-9e-05
33	-9e-05
34	-0.000617
35	-2.5e-05
36	0.000107
37	0.000173
38	0.000173
39	0.00014
40	0.000173
41	-2.5e-05
42	-5.8e-05
43	-5.8e-05
44	-9e-05
45	8e-06
46	-0.000123
47	-2.5e-05
48	4.1e-05
49	0.000107
50	0.000107
51	0.00014
52	8e-06
53	-2.5e-05
54	-5.8e-05
55	-5.8e-05
56	-0.000189
57	-2.5e-05
58	0.000206
59	0.00014
60	0.000107
61	4.1e-05
62	-2.5e-05
63	-2.5e-05
64	8e-06
65	-0.000156
66	-2.5e-05
67	-0.000189
68	8e-06
69	4.1e-05
70	0.00014
71	4.1e-05
72	0.000107
73	8e-06
74	4.1e-05
75	8e-06
76	-9e-05
77	-0.000123
78	-0.000123
79	-5.8e-05
80	8e-06
81	4.1e-05
82	4.1e-05
83	0.000173
84	-2.5e-05
85	7.4e-05
86	-2.5e-05
87	-2.5e-05
88	-9e-05
89	-9e-05
90	4.1e-05
91	8e-06
92	4.1e-05
93	8e-06
94	4.1e-05
95	0.000107
96	0.000173
97	-5.8e-05
98	4.1e-05
99	-0.000189
100	8e-06
101	-5.8e-05
102	0.000173
103	0.000206
104	0.000107
105	0.00014
106	7.4e-05
107	7.4e-05
108	8e-06
109	-5.8e-05
110	-9e-05
111	-0.000123
112	-0.000123
113	-2.5e-05
114	4.1e-05
115	0.00014
