Ladekurvenmessung
Zeit: 2018_05_02 15.14.50
Info: FVA3, v = 0.2108, T = 40, F = 20, h = 148.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	0.000798	0.004121	0.000897	-0.005848
1	-9e-05	0.007674	0.001324	-0.000156
2	4.1e-05	0.005667	0.000502	-0.003775
3	-0.000255	0.004779	-0.000156	-0.003676
4	0.000995	0.003792	0.001456	-0.002492
5	4.1e-05	0.004877	-0.000485	-0.003545
6	0.000831	0.004976	-9e-05	-0.003775
7	0.000929	0.003792	-0.000156	-0.004499
8	0.000173	0.003331	-0.001505	-0.002558
9	8e-06	0.004022	-0.000123	-0.004631
10	-0.000156	0.004811	-0.000946	-0.00417
11	-0.000485	0.006621	0.000337	-0.003084
12	-0.00065	0.005272	0.000304	-0.003413
13	0.000568	0.007312	0.000173	-0.005716
14	-0.001143	0.005469	8e-06	-0.000452
15	-0.000452	0.007542	0.000173	-0.003611
16	-0.000288	0.007608	0.000107	-0.001999
17	0.001127	0.007476	-2.5e-05	-0.004005
18	-0.000222	0.003496	-5.8e-05	-0.003117
19	0.001028	0.005864	-9e-05	-0.003479
20	-0.000189	0.007411	-9e-05	-0.003347
21	0.000732	0.005831	-9e-05	-0.003249
22	0.000962	0.004943	4.1e-05	-0.003282
23	4.1e-05	0.005371	4.1e-05	-0.005387
24	-0.000123	0.007049	4.1e-05	-0.003117
25	-0.000419	0.00514	7.4e-05	-0.004565
26	0.002969	0.009549	0.000107	-0.005946
27	0.001324	0.007345	4.1e-05	-0.004729
28	-0.000255	0.008661	-0.000123	-0.005058
29	-0.002262	0.008134	8e-06	-0.004334
30	7.4e-05	0.010207	-5.8e-05	-0.006078
31	-0.002032	0.007608	-9e-05	-0.003084
32	0.000107	0.008266	-9e-05	-0.005617
33	-0.002328	0.010503	-2.5e-05	0.002443
34	0.000864	0.008595	0.00014	-0.001077
35	-0.000419	0.009648	4.1e-05	-0.003413
36	0.002344	0.009516	0.000173	-0.003084
37	-0.002196	0.011161	0.00014	-0.00338
38	0.002048	0.010404	7.4e-05	-0.005091
39	0.002805	0.010174	4.1e-05	-0.005585
40	0.002739	0.008661	-5.8e-05	-0.006769
41	0.005437	0.010733	-9e-05	-0.006308
42	0.002772	0.007838	-9e-05	-0.004334
43	0.006325	0.006654	8e-06	-0.006604
44	0.003759	0.009352	8e-06	-0.002459
45	0.007674	0.009516	0.000173	-0.005782
46	0.003167	0.008628	-0.000617	-0.002755
47	0.007213	0.011194	-2.5e-05	-0.00496
48	0.004252	0.0082	-0.001143	-0.002624
49	0.003561	0.008891	0.002311	-0.007328
50	0.005864	0.009088	0.001357	-0.00292
51	0.007608	0.009713	0.002147	-0.003742
52	0.009615	0.012839	0.004647	-0.003973
53	0.007147	0.009681	0.001851	-0.001966
54	0.006884	0.005831	0.005535	-0.00417
55	0.007509	0.007575	-0.004466	-0.006637
56	0.007443	0.01001	-0.000255	-0.008085
57	0.004252	0.008628	0.000403	-0.003347
58	0.005897	0.008957	-0.001176	-0.007427
59	0.00468	0.008496	-0.001374	-0.004861
60	0.008529	0.008891	-0.000979	-0.007131
61	0.003101	0.006851	-0.000617	-0.003347
62	0.002903	0.007641	0.000864	-0.005486
63	0.004285	0.007378	-0.000584	-0.00417
64	0.004877	0.007608	-0.001143	-0.005815
65	0.004252	0.007082	-0.004104	-0.002196
66	0.004647	0.008068	8e-06	-0.003578
67	0.006391	0.011227	0.001522	-0.002755
68	0.004219	0.005568	0.000107	-0.004104
69	0.004976	0.005009	0.000337	-0.002525
70	0.0057	0.003002	0.000469	-0.000551
71	0.003364	0.003364	-0.000255	-0.005552
72	0.00468	0.002541	0.001423	-0.000123
73	0.005206	0.003825	-9e-05	-0.003775
74	0.005864	0.006226	-0.003018	-0.004005
75	0.009812	0.005568	0.000436	-0.004466
76	0.005568	0.00445	0.001554	-0.001834
77	0.007608	0.006358	-2.5e-05	-0.002032
78	0.010108	0.005667	-0.00213	-0.002196
79	0.006489	0.005766	-0.002722	-0.004367
80	0.003134	0.005206	-0.001505	-0.003446
81	0.006292	0.004943	0.00287	-0.001308
82	0.003792	0.004219	0.00162	-0.002755
83	0.004384	0.005535	0.000304	-0.000518
84	0.003825	0.005634	-0.001505	-0.001768
85	0.004121	0.003331	0.000535	-0.004236
86	0.005897	0.006226	0.000633	-0.002854
87	0.000995	0.00116	-0.006769	-0.002591
88	0.003528	0.008233	4.1e-05	-0.002229
89	-0.001604	0.002805	-0.000716	-0.001703
90	-0.005683	0.006456	-0.002459	-0.004137
91	-0.006111	0.002805	0.00037	-0.007493
92	-0.002657	0.005897	0.000107	-0.001077
93	-0.004038	-0.000683	-0.001933	-0.003841
94	-0.002097	0.003101	0.006753	-0.00315
95	-0.001472	0.001752	-0.003479	-0.002196
96	-0.000551	0.003167	-0.001012	-0.002953
97	-0.002854	0.002377	-0.001966	-0.002163
