Ladekurvenmessung
Zeit: 2018_05_02 15.27.22
Info: FVA3, v = 0.8059, T = 40, F = 20, h = 332.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[nF]: 0.000000
Entladezeit[ms]: 100
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500
Verzögerung [ms]: 1
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6
0	-0.010848	0.010602	-0.000847	-0.007822	0.00797	-0.008611
1	-0.007493	0.012247	0.003068	-0.004927	0.008726	-0.012395
2	-0.006177	0.011983	0.001686	-0.00769	0.010042	-0.009993
3	-0.006769	0.010865	0.002903	-0.004005	0.013135	-0.009203
4	-0.003446	0.012773	0.005272	-0.004795	0.011029	-0.01098
5	-0.005091	0.01001	0.003134	-0.004795	0.012872	-0.012757
6	-0.004433	0.011852	0.003265	-0.004861	0.010207	-0.010059
7	-0.00417	0.01455	0.002673	-0.012296	0.011095	-0.010816
8	-0.005157	0.011062	0.004548	-0.008019	0.008266	-0.009203
9	-0.006078	0.012345	0.001949	-0.006506	0.009286	-0.00792
10	-0.006308	0.012016	0.002476	-0.004532	0.011128	-0.005979
11	-0.005091	0.013431	0.005206	-0.006802	0.009911	-0.013875
12	-0.006637	0.014221	0.000897	-0.006802	0.010042	-0.009993
13	-0.008085	0.011951	0.005239	-0.008085	0.011786	-0.010914
14	-0.007888	0.014056	0.001423	-0.008381	0.012115	-0.010519
15	-0.005321	0.011391	0.000633	-0.003479	0.013892	-0.005815
16	-0.00213	0.013563	0.004219	-0.006407	0.015964	-0.009829
17	-0.003347	0.014944	0.003528	-0.008842	0.012181	-0.010881
18	-0.003315	0.013563	0.001061	-0.007427	0.010371	-0.009861
19	-0.001604	0.013267	-0.001077	-0.004795	0.012247	-0.009467
20	-0.004071	0.017116	0.000568	-0.004104	0.012312	-0.011013
21	-0.001209	0.014747	0.0006	-0.006078	0.013925	-0.012263
22	-0.002821	0.015142	0.002706	-0.003644	0.013299	-0.01223
23	-0.002393	0.014484	0.003101	0.000304	0.011589	-0.009302
24	-0.002755	0.018037	0.001752	-0.00167	0.013826	-0.012526
25	-0.002262	0.015339	-5.8e-05	-0.003775	0.013267	-0.011079
26	7.4e-05	0.016227	0.001489	0.000502	0.014484	-0.013842
27	-0.001801	0.016787	0.001686	-0.003512	0.012839	-0.011441
28	0.000962	0.013661	0.008463	-0.003084	0.014122	-0.013283
29	-0.001275	0.02057	0.002081	-0.000683	0.011622	-0.01246
30	0.00287	0.01705	0.005601	-0.0019	0.012312	-0.01529
31	0.000337	0.018728	0.002838	-0.002722	0.010766	-0.01177
32	0.0006	0.017642	0.002081	-0.000781	0.011753	-0.012033
33	-0.002328	0.018267	0.004121	0.000502	0.01274	-0.015454
34	-0.000518	0.017379	0.00287	-0.000255	0.015109	-0.01325
35	0.000864	0.018695	0.001456	0.000271	0.015997	-0.014467
36	-0.000518	0.014615	0.003134	-0.000419	0.018168	-0.017626
37	0.000962	0.01682	0.000897	0.003265	0.019057	-0.016145
38	0.003989	0.015964	0.004121	0.001916	0.015273	-0.015125
39	0.00445	0.017807	0.002805	0.005831	0.01376	-0.016375
40	0.000403	0.017872	0.00241	0.004417	0.016524	-0.015257
41	0.003463	0.01728	0.004252	0.006851	0.015043	-0.017691
42	0.002212	0.018925	0.003463	0.006226	0.013036	-0.016935
43	0.006358	0.018695	0.005371	0.005239	0.01274	-0.018284
44	0.002936	0.020504	0.002772	0.004154	0.01399	-0.019139
45	0.005568	0.018695	0.004022	0.00264	0.014681	-0.019501
46	0.000831	0.020307	0.00014	0.007707	0.010042	-0.019073
47	-0.000748	0.016918	0.001883	0.005206	0.016556	-0.019402
48	0.00445	0.018695	0.003134	0.007509	0.011951	-0.017428
49	0.004647	0.015109	0.005437	0.007707	0.014221	-0.021705
50	0.006588	0.019583	0.001456	0.005601	0.015471	-0.022067
51	0.007378	0.018037	0.001489	0.007904	0.015602	-0.022857
52	0.007707	0.018267	-0.005749	0.009516	0.01501	-0.023515
53	0.006983	0.018432	-0.000617	0.005371	0.015109	-0.024502
54	0.0082	0.015866	0.00218	0.008957	0.015504	-0.027495
55	0.009286	0.017017	0.002344	0.008397	0.016359	-0.024041
56	0.009549	0.017083	0.002739	0.008562	0.016853	-0.024666
57	0.006095	0.016458	0.001653	0.008463	0.014648	-0.024929
58	0.008463	0.019616	0.007443	0.010371	0.021853	-0.026344
59	0.009088	0.016721	0.001883	0.010207	0.012938	-0.022297
60	0.013036	0.018761	0.003331	0.01024	0.018563	-0.024469
61	0.007772	0.014747	0.00116	0.010042	0.015208	-0.02414
62	0.011128	0.013859	0.006029	0.011786	0.013431	-0.026673
63	0.011424	0.015043	0.002081	0.008661	0.011852	-0.021968
64	0.011622	0.015372	0.005075	0.009319	0.016787	-0.02539
65	0.0082	0.017741	0.001982	0.009384	0.01376	-0.024962
66	0.010339	0.015076	0.004713	0.013003	0.014254	-0.024732
67	0.009812	0.015405	0.005404	0.013135	0.019846	-0.026146
68	0.010371	0.015142	0.003561	0.013365	0.014846	-0.025752
69	0.007904	0.013859	0.002739	0.010404	0.021787	-0.027068
70	0.011457	0.01172	0.002706	0.010766	0.018168	-0.02335
71	0.012905	0.013563	0.001785	0.013727	0.017116	-0.023482
72	0.010668	0.011556	0.001423	0.00945	0.019781	-0.028515
73	0.008529	0.012312	0.002541	0.013497	0.022182	-0.02687
74	0.010766	0.009384	-0.002986	0.007016	0.016951	-0.025456
75	0.011885	0.011589	0.003561	0.01047	0.018761	-0.029502
76	0.01172	0.012115	0.000173	0.012444	0.016984	-0.02891
77	0.011589	0.013069	0.000239	0.009681	0.018826	-0.028515
78	0.01172	0.014221	-0.000485	0.010898	0.019221	-0.027528
79	0.011227	0.014648	0.000929	0.01297	0.020241	-0.027824
80	0.009713	0.009154	0.000304	0.008891	0.015734	-0.029173
81	0.014517	0.004417	-0.000321	0.013201	0.018103	-0.028186
82	0.011227	0.009977	-0.00065	0.013563	0.016359	-0.026212
83	0.015076	0.007213	0.002311	0.011325	0.019912	-0.027759
84	0.009384	0.010733	-0.001012	0.011983	0.012115	-0.026673
85	0.011161	0.007049	-0.00167	0.012115	0.015569	-0.02766
86	0.011293	0.008068	0.000666	0.010766	0.018004	-0.028318
87	0.008792	0.006851	-0.002953	0.006884	0.018004	-0.02868
88	0.00843	0.00593	-0.001275	0.014385	0.013859	-0.02687
89	0.011227	0.005864	-0.001012	0.009681	0.017116	-0.02516
90	0.012016	0.003825	-0.002097	0.007509	0.019748	-0.029864
91	0.012214	0.006621	-0.001735	0.009516	0.012543	-0.025883
92	0.012609	0.003101	0.001028	0.012905	0.019386	-0.02516
93	0.011622	0.005371	-0.000716	0.010174	0.018136	-0.027232
94	0.009154	0.006621	-0.001604	0.011523	0.017379	-0.027002
95	0.010766	0.003923	-0.001867	0.009911	0.01682	-0.024567
96	0.011654	0.001752	-0.000551	0.011622	0.015537	-0.028186
97	0.011819	0.005568	-0.002854	0.008759	0.015109	-0.023909
98	0.010799	0.001982	-0.002097	0.008266	0.015964	-0.026344
99	0.009121	0.005009	-0.003676	0.009055	0.012609	-0.026015
100	0.007016	0.002969	-0.007657	0.00843	0.014188	-0.025752
101	0.007016	0.002838	-0.004236	0.009319	0.01501	-0.028811
102	0.009286	0.001061	-0.005519	0.004976	0.015208	-0.024337
103	0.009023	0.001028	-0.004038	0.009845	0.016885	-0.027528
104	0.010075	0.001522	-0.001768	0.007049	0.016425	-0.030094
105	0.007147	-0.000748	-0.002722	0.009319	0.015076	-0.025291
106	0.006292	-0.003018	-0.003644	0.007411	0.014944	-0.029897
107	0.008167	0.00162	-0.003347	0.0082	0.016162	-0.028745
108	0.004219	-0.001406	-0.002722	0.00389	0.013267	-0.022626
109	0.00797	-0.006703	-0.006703	0.004976	0.013793	-0.026212
110	0.005305	-0.001801	-0.00394	0.005634	0.011556	-0.024962
111	0.006621	-0.001637	-0.005387	0.007805	0.014122	-0.023811
112	0.00445	-0.002624	-0.00417	0.006522	0.013859	-0.022593
113	0.003956	-0.002032	-0.001966	0.009516	0.008365	-0.017691
114	-0.000847	-0.006539	-0.002624	0.009187	0.00945	-0.021541
115	0.004219	-0.002426	-0.002328	0.005996	0.012181	-0.022429
116	0.00014	-0.000748	-0.003676	0.007312	0.007016	-0.022824
117	0.003035	-0.0019	0.002081	0.003397	0.011029	-0.02233
118	0.003232	-0.001472	-0.0019	0.003101	0.015076	-0.023646
119	0.00014	-0.003709	-0.003018	0.010273	0.010207	-0.022264
120	-0.000518	-0.002525	-0.003742	0.005667	0.013826	-0.020751
121	-0.000617	-0.003084	-0.003874	0.002903	0.011095	-0.022593
122	-0.001308	-0.003808	-0.004598	0.005766	0.013793	-0.023679
123	-0.002097	-0.002986	-0.004071	0.004713	0.010799	-0.020948
124	-0.003709	-0.004334	-0.004367	0.003923	0.010668	-0.024962
