Ladekurvenmessung
Zeit: 2018_05_03 11.57.23
Info: FVA3, v = 1.05, T = 60, F = 20, h = 289.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15
0	0.010007	0.001954	0.002447	0.003761	0.007542	0.003433	0.002447	0.001954	0.002775	0.003761	0.006391	0.000803	0.010336	0.001625	-0.001662
1	0.012637	0.003268	-0.001498	-0.000347	0.007213	-0.001991	0.00294	-1.9e-05	0.004583	0.006227	0.001296	0.002282	0.009514	0.003926	0.003433
2	0.011322	0.005241	0.002775	0.000803	0.006227	0.005241	0.002447	0.000967	0.004912	-1.9e-05	0.006391	0.003926	0.010336	0.003926	0.002447
3	0.011979	0.003104	0.001789	-0.000512	0.006062	0.003597	0.004912	-0.000512	0.002447	0.005734	0.004748	0.003104	0.011651	0.00787	0.000967
4	0.011979	0.004748	0.000967	-1.9e-05	0.007542	0.004255	0.003926	-0.000676	0.006062	0.003268	0.00409	0.00294	0.012965	0.001789	0.000474
5	0.012144	0.00409	0.002447	0.001789	0.005241	-0.001169	0.002611	-0.001498	0.004419	0.003597	0.004748	0.003926	0.009843	0.002775	0.006391
6	0.011486	0.005405	0.003926	-0.000841	0.005241	0.003268	0.001296	-0.001334	0.003597	0.002447	0.004748	0.004912	0.01428	0.005405	0.000803
7	0.01313	0.003761	0.00294	0.004255	0.006062	0.003761	0.004419	-0.002648	0.001132	0.001296	0.003597	0.00031	0.008692	0.003926	-0.000512
8	0.014938	0.002282	0.000803	0.003926	0.006884	0.003926	0.003433	-0.001827	-0.001005	0.000803	0.003104	0.005076	0.00935	0.005076	0.001296
9	0.016088	0.00409	-0.005607	0.005405	0.008363	0.002282	0.003597	-0.004292	-0.001991	0.002447	0.006556	-0.000512	0.003268	0.000803	-0.001334
10	0.010336	0.001954	0.003761	0.003926	0.005241	0.003597	0.000146	-0.005114	0.002775	0.004419	0.006556	0.001625	0.010007	0.001625	0.002118
11	0.010993	0.005241	0.002775	0.003761	0.010171	0.006227	0.001296	-0.003306	-0.001169	0.003761	0.009678	0.002611	0.00787	0.000146	0.00146
12	0.010171	-0.001991	0.000967	-0.000676	0.006062	-0.002155	0.003268	-0.007579	0.003433	0.001296	0.008363	0.003597	0.008857	0.004419	0.003268
13	0.015924	0.001789	0.001132	0.002118	0.00935	0.000803	0.00146	-0.004456	0.00146	0.00031	0.006391	0.002775	0.007706	0.001625	-0.000841
14	0.012472	0.001954	-0.001169	0.003597	0.004912	0.00146	0.001954	-0.004785	-0.001334	0.00146	0.007049	0.000474	0.012144	0.004912	0.000803
15	0.012965	0.005569	0.003926	0.00409	0.007377	0.002775	0.001296	-0.004128	0.002118	-1.9e-05	0.005569	0.002447	0.009514	0.001954	-0.002484
16	0.015431	0.003597	0.001954	0.005405	0.004583	0.000639	0.002447	-0.004292	0.000967	0.001789	0.005734	0.003104	0.007049	0.002282	0.000639
17	0.01576	0.004255	0.002447	0.00294	0.005241	0.002118	0.003104	-0.003635	0.000803	0.00031	0.007377	0.002118	0.009843	0.003104	-0.003306
18	0.016581	0.003926	-0.000183	0.005241	0.003761	0.000803	0.003433	0.000803	-0.001991	0.00294	0.005405	0.002118	0.008035	0.004255	-0.003635
19	0.018554	0.00146	0.00146	0.003761	0.004912	0.00409	0.002447	-0.001827	0.004583	0.00031	0.00409	0.003433	0.008528	0.004255	-0.004292
20	0.016253	0.004255	0.000803	0.005569	0.003104	0.000639	0.001954	-0.001827	0.001954	0.003926	0.006062	0.002775	0.008199	0.003597	-0.002155
21	0.017896	0.002447	0.001132	0.005569	0.002447	0.002282	0.003268	-0.00232	0.002447	0.001296	0.005405	0.005076	0.002118	0.003104	0.000967
22	0.018225	0.005076	-0.000183	0.006062	0.002775	0.003104	0.00146	0.002447	0.000639	0.001132	0.001789	0.002118	0.004419	0.003268	0.00031
23	0.01576	0.002118	0.003926	0.003433	-0.001169	0.004912	0.001625	0.000474	0.003761	-0.00232	0.004912	0.005405	0.007542	0.002118	-0.005607
24	0.018718	0.002611	0.000146	0.006227	0.002775	0.003597	0.003104	0.001296	0.000967	0.000967	0.005734	0.003104	0.005898	0.002611	-0.002155
25	0.016581	-0.00232	0.002611	0.003268	0.00146	0.005076	0.003926	0.003433	0.00146	-0.002484	0.002447	-0.001005	0.010336	0.002447	-0.000183
26	0.019211	0.002447	0.002118	0.007377	0.006884	0.003104	0.001954	0.004912	-0.001005	0.00031	0.005241	0.002118	0.008692	-1.9e-05	-0.001334
27	0.015266	0.00146	-0.000347	0.006227	0.002447	0.000474	0.001789	0.003597	0.002282	-0.000676	0.001789	0.002447	0.009185	-0.001005	-0.001334
28	0.016253	0.001625	-1.9e-05	0.003433	0.003104	0.00031	0.002118	0.005569	-0.000841	-1.9e-05	0.004583	0.000967	0.007049	-0.000183	-1.9e-05
29	0.016746	0.003761	-0.000841	0.004912	0.003926	-0.000512	0.004912	0.010171	0.000474	0.00146	0.004419	-0.002155	0.007049	0.004912	-0.002155
30	0.013623	0.005405	0.000146	0.007706	0.001296	0.001132	0.002775	0.006227	-0.000347	0.000967	0.005076	0.000474	0.007377	0.002118	-0.001498
31	0.008035	0.003268	0.002282	0.008035	-0.001169	0.000146	-0.001169	0.005898	-0.000841	0.003433	0.003104	0.00031	0.008199	0.00146	-1.9e-05
32	0.011486	0.004419	-0.002813	0.007706	-1.9e-05	0.00409	0.005898	0.009021	-1.9e-05	0.005405	0.005076	0.003268	0.007049	-0.000183	-0.001334
33	0.010336	-0.000183	-0.004785	0.006391	0.000146	0.001789	0.001132	0.011651	-0.002813	-0.000841	0.004255	0.002282	0.003926	0.001789	-0.000347
