Ladekurvenmessung
Zeit: 2018_05_03 13.40.25
Info: FVA3, v = 0.139, T = 40, F = 20, h = 135.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7
0	0.000639	0.000146	-0.003142	0.000146	0.001625	0.001296	-1.9e-05
1	0.000146	0.00031	-0.000347	0.000146	0.000967	-0.001334	-0.000183
2	0.003597	-1.9e-05	-0.001169	-1.9e-05	0.000803	-0.001991	0.000146
3	0.000474	0.000146	-0.001662	-0.000183	-1.9e-05	-0.000347	-1.9e-05
4	-0.001662	-1.9e-05	-0.001662	-1.9e-05	0.001132	0.001296	0.000146
5	0.00031	-0.000183	-0.003142	-0.000183	0.002775	-0.000512	0.000146
6	-0.000183	0.000639	-0.001991	-0.000183	0.000146	0.000639	-0.000183
7	-0.000347	-1.9e-05	-0.000183	-0.000183	0.000639	0.000146	0.00031
8	0.00146	0.00031	-0.005607	-0.001334	-0.000841	0.000639	0.000146
9	-0.001169	0.000146	-0.000676	0.000146	0.001954	0.001954	-1.9e-05
10	-0.000512	0.000474	-0.001005	-1.9e-05	-0.001991	-1.9e-05	-0.000183
11	-1.9e-05	-1.9e-05	-0.001498	-0.001005	0.002282	-0.000183	-0.000183
12	0.000146	-0.000347	-0.001991	0.000146	0.000474	-0.001498	-0.000183
13	0.00031	-1.9e-05	0.000803	-1.9e-05	0.001789	-0.001005	-0.000183
14	0.001296	-1.9e-05	-0.00232	-1.9e-05	-0.000512	-0.001005	-1.9e-05
15	0.000146	-0.000183	-0.001991	-0.000347	0.000474	-0.001169	-0.000183
16	0.000146	-0.000347	-0.002648	0.00146	-0.000183	-0.000183	0.000146
17	0.000803	0.000146	-0.001498	-0.000676	0.002118	-0.000512	-0.000183
18	-0.000183	0.00031	-0.002648	-0.000183	-0.000347	0.001625	0.000146
19	-0.000676	-0.000183	-0.004621	-1.9e-05	0.00146	-0.001169	-1.9e-05
20	-0.002484	0.000474	-0.002484	-0.000183	0.001296	-0.000183	-0.000183
21	-1.9e-05	0.000146	-0.00347	-0.000183	-0.001498	0.001789	-1.9e-05
22	-0.001005	-1.9e-05	-0.002648	-0.000512	0.000803	-0.001169	0.000146
23	-0.000512	0.00031	-0.003142	-0.000183	0.00031	-1.9e-05	0.000146
24	-0.000512	-1.9e-05	-0.000512	-0.000183	0.000146	-0.000347	0.000146
25	-1.9e-05	0.000146	-0.003799	-0.001005	-0.000183	0.000639	-0.000841
26	0.000146	-1.9e-05	-0.004128	-0.000347	-0.000347	0.000639	-1.9e-05
27	0.000803	0.000803	-0.004949	-1.9e-05	0.000639	-0.000183	0.000146
