Ladekurvenmessung
Zeit: 2018_05_03 13.42.45
Info: FVA3, v = 0.275, T = 40, F = 20, h = 214.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12
0	-0.002813	-1.9e-05	-0.000183	0.000146	-0.001827	-0.006429	-0.000183	-0.00232	-0.000841	-1.9e-05	0.00146	-0.00232
1	0.00031	-0.000841	-0.000183	-0.000183	-0.001498	-0.003306	-0.000183	-1.9e-05	-0.000183	-1.9e-05	0.001954	-0.001005
2	-0.001991	-0.000183	-0.000183	0.000146	-0.001991	-0.004949	0.000146	0.00031	-1.9e-05	-1.9e-05	0.00146	0.001132
3	0.000146	0.000967	0.000474	-1.9e-05	-0.002484	-0.002648	0.00031	-0.001498	-1.9e-05	0.000146	-0.000183	-1.9e-05
4	-0.002155	0.000146	0.000146	-1.9e-05	-0.002155	-0.004621	0.00031	0.002611	0.000474	-1.9e-05	0.001625	0.001132
5	0.002447	0.001296	-0.000183	-0.000183	-0.00232	-0.005278	0.000146	0.001789	-1.9e-05	-0.000183	0.00031	-0.000841
6	-0.000183	-0.002484	0.00031	-1.9e-05	-0.001005	-0.007415	-0.000183	-0.001991	-1.9e-05	-1.9e-05	0.000474	0.001625
7	0.002611	0.001296	-0.000183	-0.000183	-0.004621	-0.003306	-0.000183	0.002611	0.000803	-1.9e-05	-0.000841	0.000474
8	0.003104	0.000803	-1.9e-05	0.000146	-0.001827	-0.004621	-1.9e-05	0.001132	0.00031	-1.9e-05	0.001789	0.001132
9	0.000639	0.003104	0.00031	-1.9e-05	-0.001334	-0.005114	-0.000183	0.00031	-0.002155	-0.000183	-1.9e-05	-0.001498
10	0.001954	-0.001334	-1.9e-05	-0.000183	-0.001005	-0.0061	-0.000183	-0.002155	-1.9e-05	0.000146	-0.000347	-0.002813
11	0.001132	-0.000183	-1.9e-05	-1.9e-05	-0.002813	-0.003799	0.000146	0.001625	-0.001169	0.000146	-0.001827	-0.001005
12	-0.000183	-0.000841	-0.000347	-1.9e-05	-0.000183	-0.004621	-0.000183	-0.002648	0.000803	-1.9e-05	0.002282	-0.000347
