Ladekurvenmessung
Zeit: 2018_05_03 13.52.24
Info: FVA3, v = 1.47, T = 40, F = 20, h = 552.7
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	0.001954	0.002118	-0.003142	0.023649	-0.001169	0.023977	0.001296	0.003761	0.00146	0.00294
1	0.005076	0.005734	-0.004128	0.032688	0.000474	0.025457	0.003104	0.007049	0.002118	0.005898
2	0.000803	0.005405	-0.00232	0.029566	0.00146	0.02332	0.003433	0.004583	0.004419	0.004748
3	-0.006757	0.001789	-0.006757	0.029237	0.00031	0.026278	0.003104	0.002282	0.00294	0.004419
4	0.00146	0.002447	-0.00232	0.029237	0.000146	0.02447	0.00409	0.004912	0.002611	0.002611
5	0.00294	0.005898	0.000146	0.03236	0.001625	0.021676	0.004583	0.001296	0.000803	0.005734
6	0.002118	0.002282	0.00294	0.032688	0.000967	0.022827	0.00294	-1.9e-05	-1.9e-05	0.003926
7	0.00409	0.003433	0.001625	0.031538	-0.001827	0.022991	0.004419	-0.000841	0.00031	0.00294
8	0.000967	0.003433	0.000803	0.034661	-0.000512	0.019211	0.001625	-0.000512	-0.000512	0.003761
9	0.002118	0.002118	0.001954	0.037948	-0.001005	0.016746	0.004748	0.000146	0.001132	0.002447
10	0.001625	0.001296	0.001132	0.038934	-0.000512	0.022169	0.002282	0.002447	-0.001498	0.004419
11	0.002611	0.00146	-0.000512	0.037126	0.00031	0.023649	0.003104	-0.000183	0.000967	0.00294
12	0.003926	0.002775	0.001625	0.043371	-0.001827	0.021348	0.00031	0.002611	-0.001169	0.002447
13	0.002118	0.005076	0.00031	0.038605	-0.000512	0.020526	0.000803	0.001789	-0.001334	0.005241
14	0.00294	0.003433	-0.000183	0.040577	-0.002977	0.022827	0.001296	0.001625	-0.001662	0.006391
15	0.002447	0.003761	0.004255	0.041399	-0.003635	0.01691	0.001789	0.00146	-0.000676	0.001296
16	0.003104	0.004748	0.000967	0.040742	-0.002977	0.016253	0.001789	0.000639	-0.000676	0.004912
17	0.002447	0.006884	0.004583	0.041892	-0.000512	0.018554	0.004419	0.003268	0.002118	0.005734
18	0.001132	0.002611	0.001789	0.045837	-0.001498	0.018225	0.002611	0.000639	0.000967	0.006391
19	0.003433	0.005076	0.001789	0.042057	0.000639	0.018225	0.003268	0.003433	0.002282	0.004419
20	0.005076	0.005898	0.000639	0.045672	0.000474	0.016088	0.002118	0.002447	0.001625	0.006556
21	0.002118	0.002775	0.001132	0.046659	-0.000183	0.019375	0.003104	0.002611	0.000146	0.002282
22	0.002282	0.002447	0.001954	0.047152	-0.000347	0.017239	0.00409	0.002282	0.00031	0.003268
23	0.004748	0.000803	0.001296	0.050768	-0.000676	0.016253	0.002447	0.001954	-0.000841	0.002282
24	0.003104	-0.000183	0.000146	0.050768	-1.9e-05	0.015102	0.004255	0.00294	0.001954	0.003597
25	0.003104	0.002447	-0.001662	0.05011	-0.001827	0.01691	0.000474	0.003268	-0.001005	0.004255
26	0.001789	0.001296	-0.000183	0.051261	-0.001827	0.012801	0.004419	0.003597	0.001789	0.001625
27	-0.000512	0.002775	0.000803	0.054383	-0.004621	0.010171	0.00146	0.006062	0.000146	0.005076
28	0.00146	0.002447	0.00146	0.052082	-0.001498	0.011979	0.001789	0.004748	0.001954	0.003926
29	0.005898	0.002447	0.00031	0.050439	-0.003799	0.008035	0.002611	0.006391	0.000639	0.004748
30	0.001954	0.003268	0.003104	0.054712	0.002282	0.006227	0.00031	0.006391	0.00294	0.003597
31	0.002611	0.004419	-0.001169	0.05274	-0.005114	0.007213	-0.000183	0.006062	0.000639	0.005076
32	0.001789	0.002611	-0.000183	0.051261	-0.004292	0.008363	0.002282	0.00409	0.002447	0.00409
33	0.002775	-0.001005	-0.00232	0.051754	-0.001991	0.006062	0.002282	0.003104	0.001296	0.004912
34	0.004419	0.004583	0.000803	0.052575	-0.003306	0.005405	0.002118	0.000146	0.002775	0.00409
35	0.005569	-0.000512	-0.000512	0.051425	-0.002484	0.005405	0.00294	-1.9e-05	0.001132	0.005241
36	0.002611	0.00146	0.000474	0.048631	-0.002484	0.005241	0.001132	0.002447	0.002118	0.002447
37	0.006556	0.002775	0.000803	0.050439	-0.003963	0.00409	0.003926	0.00146	0.00146	0.005405
38	0.003761	0.001954	0.000967	0.05011	-0.00232	0.002447	0.001296	0.002282	0.001954	0.00787
39	0.00294	0.00409	-0.003142	0.048138	-0.001169	0.002611	0.005898	0.00031	0.003268	0.006227
40	0.002611	0.001296	0.001296	0.044193	-0.002813	0.001954	0.001954	0.00294	0.002775	0.007377
41	0.003268	0.001625	-0.001169	0.046823	-0.000347	0.000474	0.002118	0.001296	0.00146	0.006391
42	0.003597	0.004255	-0.002648	0.043207	-0.003306	0.000474	0.002282	-0.028617	0.000639	0.008528
43	-0.000676	-0.001334	-0.000841	0.042221	0.000146	0.000146	0.002611	-0.000676	0.001296	0.006227
44	0.004255	0.002611	-0.001334	0.037619	-0.004292	0.001132	-0.001005	-0.000183	0.000803	0.00787
45	0.003597	0.001132	-0.000347	0.038769	-0.001334	-0.003963	0.001789	0.000146	0.003597	0.006227
46	0.005241	0.00031	-0.000841	0.034989	-0.004785	-0.001991	0.004748	0.001296	0.002447	0.00787
47	0.006227	0.003926	-0.000183	0.029894	-0.004128	-0.001334	0.001625	-0.000347	0.002118	0.005898
48	0.006391	0.001789	0.000474	0.029401	-0.004456	-0.001169	0.002447	0.001296	0.002775	0.00935
49	0.000803	0.000146	0.00146	0.027593	-0.002977	-0.003142	0.00294	-0.004128	0.004419	0.008857
50	0.003597	-0.000512	-0.001827	0.027758	-0.00232	-0.002484	0.002118	-0.000512	0.001954	0.010993
51	0.000146	0.001789	-0.000347	0.022991	-0.002648	-0.001827	0.008199	-0.007415	0.007049	0.010336
52	0.003761	0.002611	-0.000676	0.022498	-0.003635	-0.004621	0.001625	0.002775	0.003104	0.008528
53	0.002775	0.00409	-0.000841	0.017896	0.003268	-0.004292	0.003268	0.002447	0.003597	0.0105
54	0.001296	0.000639	-1.9e-05	0.01428	-0.002813	-0.001498	0.002447	-0.000841	0.00294	0.012472
55	0.00409	0.002447	-0.001005	0.014116	-0.000347	-0.004456	0.001296	0.001625	0.002282	0.00935
56	0.001789	0.001132	-0.003142	0.012308	0.001296	-0.004456	0.003268	-1.9e-05	0.002118	0.011158
57	0.002775	0.00146	-0.000841	0.009843	-0.003963	-0.003963	0.001954	0.00294	0.003268	0.012472
58	-0.000512	0.00031	-0.001991	0.007542	-0.002484	-0.003799	0.001132	0.00031	-1.9e-05	0.010336
59	-0.001334	0.001789	-0.003306	0.006884	-0.002977	-0.005443	0.001625	0.001789	0.004912	0.012472
60	0.001132	-0.001334	-0.001827	0.005569	-0.000676	-0.007744	0.003268	0.000474	0.002775	0.012801
61	0.000639	-0.000676	-0.002977	0.002282	-0.001827	-0.005278	0.000803	0.003597	0.002611	0.012308
62	0.00031	0.001789	0.000146	0.001132	-0.000347	-0.004949	-0.007086	0.001625	0.00672	0.012472
63	0.003433	0.000474	-0.000676	0.002447	-0.005443	-0.003963	-1.9e-05	0.002118	0.002118	0.01428
64	0.001132	0.003926	-0.002484	-0.001334	-1.9e-05	-0.006593	0.001789	0.002611	0.004912	0.012144
65	0.003104	-0.000512	-0.001005	-0.002813	-0.001169	-0.005278	0.002447	-0.000676	0.003433	0.014116
66	0.004912	0.002118	0.00146	-0.007415	-0.001498	-0.006429	0.002282	0.000639	0.007049	0.01313
67	0.003433	0.002447	0.002282	-0.003799	-0.000676	-0.007415	0.003761	0.00031	0.008363	0.017732
68	-0.000841	0.001296	0.001132	-0.005114	-1.9e-05	-0.002813	0.002447	-0.001498	0.008692	0.013294
69	0.002775	0.000474	0.00294	-0.008072	-0.001662	-0.004621	0.001625	0.000967	0.005076	0.014938
70	0.002611	0.002611	-0.000347	-0.012017	-0.000512	-0.008401	0.002447	0.00031	0.007542	0.01576
71	0.002447	0.000474	0.002611	-0.009058	0.000474	-0.005771	0.00409	-0.002155	0.008363	-0.001498
72	0.002775	0.001954	0.003761	-0.010538	-0.000512	-0.004785	0.001789	0.001132	0.006556	0.001789
73	0.002611	0.001296	-0.001498	-0.00988	0.001296	-0.004785	0.005076	-0.001005	0.010336	0.000639
74	0.001625	0.004255	0.005898	-0.012181	-0.001991	-0.003963	-0.001169	-0.001334	0.008692	0.002611
75	0.001954	0.005569	0.000803	-0.012181	0.002118	-0.004292	0.001296	-1.9e-05	0.009021	0.005405
76	0.002611	0.000474	-0.000347	-0.014482	-1.9e-05	-0.005114	0.001789	-0.001498	0.010007	0.002611
77	0.002447	0.001954	0.001296	-0.010209	0.00031	-0.005936	0.000803	-0.005114	0.007706	0.003268
78	0.003433	0.000967	0.001132	-0.011852	-1.9e-05	-0.005443	0.000474	-0.000512	0.002118	0.003104
79	-0.000841	0.001625	0.001789	-0.015961	-0.001662	-0.005443	0.002775	-0.001662	0.004583	0.004748
80	0.00146	0.001132	0.001625	-0.014482	-0.006429	-0.006264	-0.001662	0.004748	0.002611	0.006062
81	-1.9e-05	0.001296	-0.001169	0.000639	0.002118	-0.009387	0.002282	0.00409	0.007706	0.005405
