Ladekurvenmessung
Zeit: 2018_05_03 14.02.13
Info: FVA3, v = 0.272, T = 40, F = 10, h =204.8
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9
0	-0.005114	-0.001498	-0.000183	-1.9e-05	-0.000347	-0.003635	-0.001991	0.001132	-0.000183
1	0.000146	-0.000183	-0.000183	-1.9e-05	-1.9e-05	-0.000841	-0.003306	0.004748	-0.000183
2	-0.000347	0.000639	-1.9e-05	-0.000183	-1.9e-05	-0.001991	-0.003799	0.002775	-0.000183
3	-0.005278	0.001789	-1.9e-05	-0.000183	-1.9e-05	0.000146	-0.002977	0.00672	-0.000347
4	-0.00347	-0.000512	-0.000183	-1.9e-05	-0.000183	-0.001169	-0.000676	0.007213	-1.9e-05
5	0.004583	0.000967	-1.9e-05	-1.9e-05	0.000146	0.000803	-0.002977	0.004912	-1.9e-05
6	0.000146	0.000639	-1.9e-05	-1.9e-05	-0.000676	-0.001334	-0.005771	0.003104	-1.9e-05
7	0.000146	0.002611	-1.9e-05	0.000146	0.000146	-0.000512	-0.007086	0.004583	-1.9e-05
8	0.003433	0.003104	-0.000183	-1.9e-05	-0.000183	0.000474	-0.005114	0.002447	-1.9e-05
9	-0.001991	0.003597	0.000146	0.000146	-1.9e-05	-0.004949	-0.003306	0.003597	-0.000183
10	0.003433	-0.001169	-0.000183	0.000146	-1.9e-05	-0.000676	-0.002648	0.004912	-0.000183
11	-0.001169	0.001296	-1.9e-05	-1.9e-05	0.001132	-0.001662	-0.005607	0.003104	0.000146
12	-1.9e-05	-0.002155	-1.9e-05	-1.9e-05	-1.9e-05	-0.002813	-0.00347	0.001789	-0.000183
13	0.001132	-0.002155	-1.9e-05	-0.000183	0.000146	-0.004785	-0.005443	0.003268	-1.9e-05
14	0.001132	-0.002648	-1.9e-05	-1.9e-05	-1.9e-05	-0.003799	-0.003963	0.002447	-0.000347
15	-0.000841	-0.001005	-1.9e-05	-0.000183	0.000474	-0.008565	-0.002155	0.001789	-0.000347
16	0.003104	-0.003306	0.000803	0.000146	0.000146	-0.002484	-0.004621	0.002118	-1.9e-05
17	-0.005607	-0.000183	0.00031	-1.9e-05	-1.9e-05	-0.003635	-0.002977	0.003597	-1.9e-05
18	-0.000347	0.001625	0.00031	-1.9e-05	-0.000512	-0.002813	-0.007744	0.006227	-1.9e-05
19	-0.003142	-0.002484	0.00031	-1.9e-05	-0.000183	0.002282	-0.004128	0.001625	-0.000183
20	0.000639	0.000146	-1.9e-05	-1.9e-05	-1.9e-05	-0.000183	-0.001005	0.003926	-1.9e-05
21	0.001954	-0.00232	-0.000183	-1.9e-05	0.000146	-0.000841	-0.004128	0.003761	-1.9e-05
22	-0.000347	0.000146	-1.9e-05	0.000146	0.000639	-0.000183	-0.006429	0.005405	-1.9e-05
23	0.001625	-0.001827	-1.9e-05	-1.9e-05	-0.000183	-0.000183	-0.002155	0.005076	-0.000183
24	-1.9e-05	-0.001662	-0.004456	-0.000183	0.000146	-0.001662	-0.003963	0.001296	-0.000183
25	0.00146	-0.000512	-1.9e-05	-1.9e-05	-1.9e-05	0.001132	-0.000183	0.003926	-0.000347
26	0.003268	0.001132	-0.000183	0.000146	-0.000183	-0.002155	-0.004292	0.002447	-0.000183
27	-0.000512	-0.003963	0.000967	-0.000183	-1.9e-05	-0.00232	-0.004128	-0.000347	-0.000183
28	-0.001169	-0.003963	-0.000512	-1.9e-05	0.000146	-0.001827	-0.003635	0.002282	-1.9e-05
29	-0.001498	-0.000841	0.000146	-1.9e-05	-1.9e-05	-0.001827	-0.004621	-0.000676	-1.9e-05
30	-0.001334	-0.002648	-0.000183	-1.9e-05	-0.000183	-0.005443	-0.001169	0.002447	-0.000347
31	-0.002484	-0.001827	0.003104	0.000146	-0.000183	-0.002813	-0.008072	0.003761	-0.000183
32	-0.004456	-0.00232	-0.001005	-1.9e-05	-1.9e-05	-0.001498	-0.004128	0.005734	-1.9e-05
33	-0.000183	-0.002484	0.001132	-1.9e-05	0.001132	-0.004128	-0.006264	0.003597	-0.000183
34	-0.003142	-0.003963	0.00031	0.000146	-0.000183	-0.004292	-0.003306	0.005405	-0.000183
35	0.000146	0.00031	-0.006264	-0.000183	-1.9e-05	-0.002813	-0.004949	0.006884	-0.000183
