Ladekurvenmessung
Zeit: 2018_05_03 14.51.04
Info: SHC320, v = 0.248, T = 40, F = 20, h =292.0
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	0.001132	-0.005278	-0.002977	-0.001827	-1.9e-05	-0.003306	-0.003142	-0.000183	-0.003635	0.006556
1	-0.000347	-0.001334	-1.9e-05	-0.000183	0.00031	-0.002484	0.000967	-0.001498	0.004419	0.006062
2	0.00146	-0.001991	-0.001662	-0.000512	0.000146	0.001789	-0.003142	0.005898	-0.003142	0.011979
3	-0.001991	-0.002813	0.000639	-0.000841	-1.9e-05	0.000474	-0.003306	0.001954	0.001296	0.010007
4	0.000967	0.001625	-0.000183	-0.000841	-0.000347	0.00146	-0.001498	-0.000183	-0.001662	0.011322
5	-0.002648	0.000803	0.001625	-0.000512	-0.000183	-0.000676	0.000474	0.003926	-0.001169	0.010664
6	0.000146	-0.001991	-0.000512	-0.003142	-0.000183	0.000639	0.002775	-1.9e-05	-0.001827	0.013787
7	-0.002155	0.00146	0.000146	0.001296	-0.000183	0.001296	-0.001005	-0.000183	-0.003306	0.007542
8	-0.006593	-0.001169	-0.001662	-0.003963	-1.9e-05	-0.002155	-0.003799	-0.001005	-0.003142	0.00031
9	-0.004621	-0.005443	0.000146	-0.000676	0.000146	-0.000183	-0.000347	0.001789	0.002775	0.000474
10	-0.001334	0.001132	-0.000183	0.000146	0.000146	0.001132	-0.001498	-0.000512	-0.002648	0.001296
11	-0.00347	-0.003635	-0.000512	-0.000183	0.000146	0.00031	-0.001169	0.001789	-0.001498	0.000803
12	-0.002648	-0.004785	-0.000512	0.003268	0.000146	-0.001662	-0.001991	-0.001334	0.000967	0.002611
13	-0.002648	0.001625	-0.013003	0.000146	0.000146	0.001625	0.00146	-0.001334	-0.001498	0.000967
14	-0.000676	-0.001662	-0.001005	0.000146	-1.9e-05	0.000146	-0.000676	-0.000512	0.001132	0.002282
15	0.00031	-0.004949	0.00031	-0.002484	-0.000183	0.000803	-0.000512	0.00146	-1.9e-05	0.004912
16	-0.00347	-0.008565	-1.9e-05	0.00031	-0.000183	-0.004621	-0.001827	0.001132	0.001954	0.001296
17	0.001132	-0.002155	0.000146	-0.001991	-0.000183	-0.002484	-0.000183	0.00294	-0.000512	0.002118
18	-0.000841	-0.001169	0.001625	-0.000512	-0.000183	-0.000841	-0.003963	-0.001169	0.003761	-0.001334
19	0.000967	-0.001827	-1.9e-05	-0.003635	-1.9e-05	0.00294	-0.001991	0.00031	-0.001334	0.003761
20	0.000146	-0.003799	-1.9e-05	0.00146	-1.9e-05	-0.00347	-0.004785	0.002118	-0.001991	0.001625
21	0.003433	-0.005936	-0.000347	-0.001827	-1.9e-05	0.00031	0.000803	0.000474	-0.002484	0.003597
22	-0.002977	-0.004456	-0.001169	-0.000347	0.000146	-0.006429	-0.001991	-0.00232	0.000474	0.003761
23	-0.002155	-0.003799	-0.000676	-0.002484	0.00031	-0.005936	0.00031	-0.002484	-0.004785	0.003597
24	0.00146	0.002775	-1.9e-05	-0.001005	-1.9e-05	-0.000512	0.000474	-0.001662	-0.003635	0.004583
25	0.001789	-0.002155	-0.000512	-0.001169	-1.9e-05	-0.003142	-0.003963	-0.000676	-0.001827	0.004583
26	-1.9e-05	-0.003142	-0.000183	-0.003142	-0.000183	-0.000512	-0.001169	-0.003142	-0.000841	0.002118
27	-0.002155	-0.00232	-0.000347	-0.001334	-0.000183	-0.002484	-0.002484	-0.00347	0.000639	0.008199
28	-0.003963	-0.002155	-0.000183	-0.008237	-1.9e-05	-0.001498	-0.000512	0.000803	0.00146	0.011815
29	-0.002484	-0.005443	-0.000676	-0.002155	-1.9e-05	-0.001827	-0.002977	-0.002648	0.001132	0.006062
30	-0.004128	-0.000841	-1.9e-05	0.002282	-1.9e-05	0.000639	-0.001827	-0.002977	-0.001991	0.008363
31	-0.002484	-0.004785	0.00031	-0.001169	0.000146	-0.002977	-0.00347	-0.001498	0.003268	0.004912
32	-0.000676	-0.002813	0.000146	-0.003963	0.000146	-0.001169	0.000146	-0.000183	0.000146	0.00787
33	-0.001169	-0.005443	0.00031	-0.000183	0.00031	-0.005114	-0.004128	-0.003635	0.000967	0.005241
34	-0.002648	-0.003963	-0.000183	-0.003799	0.000146	-0.001498	-0.002484	-0.000841	-0.000676	0.005898
35	-0.002484	-0.004292	-0.000347	0.002611	-0.000183	-0.002155	0.000967	-0.003306	-0.000841	0.006062
36	0.000967	-0.004128	-1.9e-05	0.001132	-0.000183	-0.00347	0.004255	-0.00347	-1.9e-05	0.007706
