Ladekurvenmessung
Zeit: 2018_05_03 14.57.31
Info: SHC320, v = 1.06, T = 40, F = 20, h = 576.5
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10
0	-0.001827	-0.000183	0.000639	-0.004456	-0.00347	-0.005443	-0.000676	-0.004456	-0.004292	0.001789
1	-0.002648	-0.000841	0.001296	-0.001498	-0.000841	-0.003799	-0.001662	-0.000347	-0.004949	0.003268
2	-0.001662	-0.000347	0.000639	-0.004292	-0.001827	-0.005607	-0.002813	-0.002155	-0.00232	-0.00347
3	-0.005443	0.002775	-0.000347	0.00031	0.004419	-0.003306	-0.002977	0.000803	-0.004292	-0.001005
4	-0.002977	-0.003142	-0.000512	-0.000512	-0.002155	0.002447	0.000803	-0.002484	-0.004785	0.003104
5	-0.001662	-0.004621	-0.001169	-0.009387	-0.001334	-0.003142	-0.01251	-0.004785	-0.001662	-0.001005
6	-0.00725	0.000146	-0.002813	-0.012674	-0.003963	-0.004949	0.000146	-0.000841	0.000639	-0.002813
7	-0.002155	-0.001827	-0.006922	-0.000512	-0.003963	-0.001662	-0.003306	-0.002484	-0.001498	0.003597
8	-0.001991	-0.001662	0.000967	-0.001169	-0.004949	-0.004949	-0.002155	-0.002484	0.00031	0.001132
9	-0.006429	-0.001827	-0.001334	-0.006593	-0.000512	-0.002648	-0.001827	-0.001991	-0.001169	0.004748
10	-0.001005	-0.000183	-0.005771	0.00031	-0.004785	-0.003142	-0.002155	-0.003142	-0.003635	0.001296
11	-0.003142	-0.000841	-0.001005	-0.000676	0.000639	-0.002484	0.000639	-0.001662	-0.001005	-1.9e-05
12	-0.000347	-0.000183	-0.001991	0.000639	-0.002813	-0.002484	-0.000676	-0.00347	-0.003142	0.000474
13	-0.003963	-0.00232	-0.001662	0.000474	-0.002648	-0.004949	-0.002648	-0.002484	-0.001827	0.001954
14	-0.004456	0.000474	0.000967	0.00294	-0.00232	-0.004621	-0.000347	-0.008072	-0.005607	-0.000676
15	-0.002484	-0.00347	0.001132	-0.001169	-0.005936	0.000146	0.000146	-0.00347	-0.003142	0.000146
16	-0.000183	-0.000676	-0.001169	-0.000512	-0.004292	-0.007086	-0.002813	-0.003963	-0.0061	-0.000347
17	-0.002155	-0.00347	0.003761	-0.003635	-0.004128	-0.009058	-0.000676	-0.001005	-0.005443	0.000146
18	0.000639	-0.003306	-0.003306	-0.001827	-0.005114	-0.006922	-0.00347	-0.001498	-0.002484	0.000474
19	-0.001991	-0.001498	0.00294	-0.001498	-0.003142	-0.009551	-0.005771	-0.003142	-0.001662	0.00294
20	-0.00347	-0.003142	-0.000841	-0.001498	-0.000676	-0.007415	-0.001991	0.001789	-0.004949	0.000474
21	-0.001498	-0.004128	0.000639	-0.000512	-0.005278	-0.007415	-0.000676	-0.001334	-0.002155	0.005898
22	-0.005278	-0.005607	-0.000347	0.000967	-0.004621	-0.005443	-0.000676	-0.001498	-0.004949	-1.9e-05
23	-0.002648	-0.002155	0.000639	0.002611	-0.002155	-0.002484	0.001789	-0.003142	-0.003306	-0.001498
24	-0.001498	-0.002648	-0.002977	0.00031	-0.001334	-0.009387	-0.000183	-0.001991	-0.002648	0.001625
25	-0.002813	-0.002155	-0.003142	-0.000841	-0.010373	-0.004292	-0.001005	-0.00232	-0.000512	-0.002484
26	-0.001169	-0.005278	-0.001827	0.000474	-0.001991	0.003597	0.00031	0.003104	-0.003306	0.000146
27	0.002118	0.00031	-0.002484	0.000639	-0.003799	-0.006264	-1.9e-05	-0.003306	-0.002484	-0.002155
28	-0.002155	-0.001991	0.000474	-0.002977	-0.002155	-0.003142	-0.00232	0.000474	-0.00347	-0.001498
29	-0.010045	-0.001498	0.000803	-0.002155	0.000146	-0.005114	-0.004456	-0.00347	-0.004292	-0.003799
30	-0.002155	-0.001334	0.005076	-0.000512	-0.004292	-0.001991	-0.005607	-0.004621	-0.002977	0.000803
31	-0.002155	-0.002813	0.004255	-1.9e-05	-0.002813	-0.004456	-0.001169	-0.000512	-0.005443	-0.005278
32	-0.001169	-0.005936	0.004748	-0.003963	-0.002648	-0.002484	-0.001991	0.000146	-0.006429	-0.011688
33	-0.001005	-0.001334	0.003597	-1.9e-05	-0.002155	-0.005771	-0.004621	-0.004292	-0.008401	-0.006593
34	-0.001334	0.000639	0.006556	-0.001991	-0.003142	-0.005443	-0.001662	-0.000347	-0.007415	-0.000676
35	-0.001662	-0.002155	0.003268	-0.004292	-0.002648	-0.002155	-0.001991	0.002775	-0.0061	-0.005443
36	-0.001991	-0.004292	0.002282	-0.000183	-0.000676	-0.00347	-0.001498	-0.002813	-0.002813	-0.004456
37	0.000146	-0.002813	0.003104	0.000967	-0.003635	-0.014811	0.000967	0.00146	-0.007415	-0.002484
38	-0.002648	-0.003635	0.00409	0.000639	-0.001991	-0.007744	0.000967	0.000146	-0.002813	-0.004292
39	-0.00347	-0.003635	0.001132	0.000146	-0.000183	-0.004621	-0.000676	0.003761	-0.003306	-0.00347
40	-0.003963	-0.002977	-0.001662	0.00146	-0.001827	-0.005278	-0.001169	-0.00347	-0.002648	-0.001169
41	-0.001991	-0.003799	0.001954	-0.005607	-0.00347	-0.002155	-0.005114	-0.001827	-0.000676	0.003761
42	-0.001334	-0.001991	-0.000841	-1.9e-05	0.000639	-0.004128	-0.003799	-0.001005	-0.000841	-0.000841
43	-0.004949	-0.001662	-0.000512	-0.001827	-0.000512	-0.001169	-0.001498	0.000474	-0.003306	0.001625
44	-0.000347	0.001132	-0.001334	0.000639	-0.002648	-0.006593	-0.002813	-0.001498	-0.00232	-0.005114
45	-0.002484	-0.002813	0.003761	-0.00232	-0.001498	-0.001334	-0.004621	-0.002155	0.000639	-0.002155
46	-0.003635	-0.001991	-0.00232	-0.002484	-0.001005	-0.00347	-0.001005	-0.003306	-0.007415	-0.003635
47	-0.005114	-0.003799	-1.9e-05	-0.000183	-0.002813	-0.00232	-0.003142	-0.002484	-0.004621	-0.003306
48	-0.002648	-0.000841	0.000146	-0.001334	-0.003635	-0.003142	-0.003142	0.000803	-0.004785	-0.005443
49	-0.001662	0.000146	0.00146	-0.000183	-0.004128	-0.007579	-0.000676	0.000474	-0.004128	-0.00347
50	-0.001991	-0.001005	0.001132	-0.001005	-0.006264	-0.005114	-0.002648	-0.001662	-0.004949	-0.005443
51	-0.001498	-0.003799	0.004419	0.001954	-0.002155	-0.006429	0.000474	0.001132	-0.00347	-0.003963
52	-0.001005	-0.001334	0.004255	0.001625	-0.005114	-0.005443	-0.00873	0.003268	-0.00347	-0.001498
53	-0.000676	-0.002977	0.00409	-0.004128	-0.002813	-0.009716	-0.006429	-0.001991	-0.002155	-0.006264
54	-0.006264	-0.001991	-0.000347	-0.001662	-0.005114	-0.007579	-0.001662	-0.001827	-0.006429	-0.004456
55	-0.005114	-0.001005	0.000146	-0.002813	-0.003635	-0.004456	-0.004785	-0.00347	-0.003635	-0.000512
56	-0.0061	-0.003963	-0.000347	-0.003635	-0.003963	-0.004621	-0.005607	-0.001169	-0.00232	-0.00347
57	-0.003635	-0.002484	-0.002484	-0.00347	-0.006264	-0.004292	-0.001827	-0.000841	-0.002813	-0.001991
58	-0.006429	-0.004621	0.00031	-0.002155	-0.002484	-0.002813	0.001132	0.001132	-0.001827	-0.000183
59	0.001789	-0.001498	-0.000841	0.000146	-0.001498	-0.003142	0.000146	-0.002155	-0.003635	-0.003306
60	-0.00232	-0.002813	-0.002484	-0.002977	-0.002155	-0.004128	-0.003635	-0.002155	-0.002484	-1.9e-05
61	-0.00232	-0.002155	-0.004621	0.004419	-0.002155	-0.006593	-0.000512	-0.006922	-0.000347	-0.004292
62	-0.008565	-0.003306	0.00146	0.002118	-0.00232	-0.002813	-0.002977	0.002611	-1.9e-05	-0.003635
63	-0.000347	-0.001005	0.002118	0.004255	-0.002155	-0.002648	-0.001498	-0.001169	-0.00232	-0.002977
64	-0.001498	-0.002813	-1.9e-05	-0.000183	-0.004949	-0.005114	-0.004785	-0.006264	-0.002977	-0.002648
65	-0.00347	-0.001005	-0.004621	-0.003799	-0.005771	-0.005278	-0.004292	-0.001498	-0.004785	-0.003306
66	0.002118	-0.002813	0.000146	-0.001827	-0.001498	-0.006264	-0.002813	-0.004456	-0.005443	0.001132
67	-1.9e-05	0.002611	-0.001169	0.00031	-0.006922	-0.007579	-0.00725	-0.000841	-0.003963	-0.005607
68	-0.000512	-0.000183	0.000146	-0.004949	-0.003306	-0.004456	-0.005278	-0.003635	0.001789	-0.003963
69	-0.003142	-0.001991	0.001132	0.000639	-0.002813	-0.004785	-0.012181	-1.9e-05	-0.004292	-0.003799
70	-1.9e-05	-0.004456	-0.000512	0.00031	-0.002813	-0.011031	0.000639	-0.000512	-0.003306	-0.002648
71	-0.001991	-0.002813	0.001625	-0.001498	-0.001991	-0.004128	0.002282	-0.001334	-0.002648	-0.002155
72	-1.9e-05	-0.003799	-0.002813	0.001954	-0.004456	-0.003142	0.003761	-0.003306	-0.004456	-0.001991
73	-0.001498	-0.007415	0.003761	0.001625	-0.002155	-0.00232	-0.000512	-1.9e-05	-0.005278	-0.000676
74	0.003597	0.000639	-0.002977	0.004748	-0.002813	-0.005443	0.003268	-0.001827	-0.003306	-0.00347
75	-0.002648	-0.003963	-0.000512	0.00031	0.001132	-0.001991	0.00146	0.001625	-0.000676	-0.001662
76	-0.000512	-0.003306	-0.001005	0.00409	-0.004456	-0.0061	0.004255	-0.000183	-0.00725	-0.006264
77	-0.006922	-0.006429	-0.001169	0.000639	-0.002484	-0.003306	0.001296	-0.00347	-0.006429	-0.000512
78	-0.002155	-0.001169	-0.001169	0.00031	0.001789	-0.003963	-0.003142	-0.006429	-0.005114	-1.9e-05
79	-0.002648	-0.002648	-0.001334	0.000967	-0.000347	-0.001827	-0.002813	-0.007744	-0.0061	-0.001991
80	-0.006757	-0.000183	-0.003306	0.002118	-0.000512	-0.002648	-0.001334	-0.006429	-0.007744	-0.001334
81	0.001132	-0.002155	-0.001498	-0.000347	-0.001991	-0.002813	0.000639	-0.005114	-0.005771	-0.002155
82	-0.000676	-0.002977	-0.000183	-0.001169	-0.004128	-0.005771	-0.000676	-0.003306	-0.003963	-0.003306
83	-0.000841	-0.003963	0.001789	-0.001827	-0.002813	-0.002813	-0.001005	-0.004949	-0.001991	-0.004128
84	-0.002484	0.00146	0.000967	0.001132	-0.001991	-0.005114	-0.003799	-0.001498	-0.006593	-0.004292
85	-0.00232	0.000967	-1.9e-05	-0.000183	-0.004949	-0.005771	-0.001827	0.001296	-0.006429	-0.003306
86	-0.002155	-0.000841	0.000474	0.002282	-0.002813	-0.006757	-0.003963	0.000639	-0.008237	-0.003306
87	-0.002813	-0.001827	-0.000183	0.000803	-0.005936	-0.005278	-0.000841	-0.005443	-0.005278	-0.004456
88	-0.003799	-0.002484	0.003268	-0.000183	-0.003306	-0.004456	-0.002977	0.003104	-0.006757	-0.001169
89	-0.001005	-0.001169	0.000639	0.000639	-0.001498	-0.00347	-0.00232	-0.001827	-0.007086	-0.003963
90	-0.005278	-0.004456	-0.000347	-0.000183	0.000146	-0.00232	-0.001662	-0.001662	-0.004292	-0.003142
91	-0.00347	-0.002155	-0.002155	0.001132	0.00031	-0.002813	-0.00232	-0.003799	-0.005278	-0.00347
92	0.001296	-0.003635	-0.006757	-0.000183	0.000146	-0.001169	-0.00347	-0.002484	-0.004292	-0.002977
93	-0.000512	-0.001991	-0.003799	0.000967	-0.00232	0.000146	-0.001991	-0.004785	-0.001498	-0.003963
94	-0.002155	-0.003799	-0.003799	-0.000512	-0.000512	-0.003635	-0.001498	-0.00725	-0.004128	-0.001334
95	0.001625	-0.000676	-0.005114	0.002447	-0.002813	-0.002155	-0.004456	-0.002155	-0.004128	-0.003306
96	-0.005278	-0.001005	-0.003635	-0.00347	-0.001334	-0.001827	-0.003799	-0.004292	-0.006922	-0.001827
97	-0.004292	-0.000841	-0.004128	0.001625	-0.002977	-0.002648	-0.004128	-0.004621	-0.004785	-0.000512
98	-0.003142	-0.005443	-0.000676	-0.001334	0.001789	-0.002648	-0.005114	-0.002813	-0.005114	-0.005114
99	-0.004292	0.000474	-0.002648	-0.002155	-0.000183	-0.0061	-0.004456	0.001789	-0.006757	-0.005607
100	-0.001169	0.001625	-0.009058	-0.001334	-0.004949	-0.000512	-0.004621	-0.002813	-0.003799	-0.003306
101	-0.000183	-0.002977	-0.00232	0.001296	-0.003306	-0.005278	-0.003963	-0.004456	-0.00232	-0.010045
102	-0.001334	0.000146	-0.001662	0.003761	-0.003142	-0.00347	-0.001662	-0.004621	-0.004785	-0.007415
103	-0.001334	-0.00232	-0.001662	0.003104	-0.003963	-0.003306	0.002282	-0.001991	-0.005936	-0.006757
104	-0.001005	-0.001005	-0.002155	0.000967	-0.005443	-0.005771	0.002118	-0.005278	-0.004949	-0.007744
105	-0.005443	-0.004456	-0.002648	-0.001334	-0.001334	-0.005771	0.001954	-0.002977	-0.004949	-0.006264
106	-0.001498	0.000639	-0.008894	0.001954	0.002775	-0.007086	0.005405	-0.003142	-0.004949	-0.0061
107	-0.001334	-0.002813	-0.000841	0.000803	-0.002977	-0.00232	0.003104	-0.001169	-0.005771	-0.002648
108	-0.004621	-0.006264	-0.00347	-1.9e-05	-0.002484	-0.005443	0.003433	-0.003963	-0.002648	-0.003306
109	-0.006922	-0.003963	-0.005114	-0.002977	0.001789	-0.002977	0.003104	-0.003799	-0.004456	-0.002648
110	-0.00232	0.000146	-0.003635	-0.001498	-0.004621	-0.004292	0.002118	-0.002648	-0.002813	-0.003635
111	-0.002155	-0.004621	-0.004949	-0.001991	0.002611	-1.9e-05	0.000639	-0.004621	-0.006429	-0.002484
112	-0.002484	0.000474	-0.00873	0.003433	-0.00232	-0.001498	0.003268	-0.005443	-0.003799	-0.004621
113	-0.000841	-1.9e-05	-0.003142	-0.000512	-0.001169	-0.000841	0.002775	-0.005114	-0.003306	-0.003142
114	0.000146	-0.002155	-0.005114	0.000967	-0.002977	-0.00232	0.00294	-1.9e-05	-0.004456	-0.002648
115	-0.001498	-0.002977	-0.008894	-0.004621	-0.003142	-0.003306	0.002447	-0.00725	-0.001991	-0.003963
116	-0.001005	0.000146	-0.004785	-0.004621	-0.003142	-0.004456	0.002775	-0.00347	-0.002648	-0.009058
