Ladekurvenmessung
Zeit: 2018_05_04 08.55.14
Info: FVA3, v = 0.1, T = 23, F = 20, h = 17.3
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4
0	0.000146	0.000146	0.000474	0.002282
1	-1.9e-05	-1.9e-05	0.00031	0.004583
2	0.00031	0.00031	-0.000183	0.003761
3	-0.000347	0.000146	-0.000183	0.003761
4	-0.000183	-1.9e-05	-0.000512	0.002775
5	-0.000183	-0.000347	-0.000347	0.005569
6	-0.000347	-0.000347	-0.000512	0.001296
7	-0.000347	-0.000347	-0.000183	0.003597
8	0.000146	-0.000183	0.00031	-0.000347
9	0.000639	-0.000183	0.000146	0.00146
10	0.00031	0.00031	0.000146	-0.002813
11	0.000474	0.000146	0.00031	-0.001169
12	0.00031	0.000474	-1.9e-05	-0.001169
13	-1.9e-05	0.000146	-0.000347	0.000967
14	-0.000347	-1.9e-05	-0.000347	0.001132
15	-0.000347	-0.000183	-0.000676	0.00031
16	-0.000183	-0.000347	-0.000183	-0.001662
17	-0.000347	-0.000183	-0.000183	0.000803
18	-1.9e-05	-0.000347	0.000146	0.00294
19	-0.000183	-0.000183	-1.9e-05	0.000639
20	0.00031	-1.9e-05	0.000146	0.002611
21	-1.9e-05	0.000146	0.000146	0.000967
22	0.000474	0.000146	0.000474	0.000474
23	0.000474	0.000146	0.000146	0.002282
24	0.00031	0.00031	-1.9e-05	0.002118
25	0.000146	0.000146	-0.000347	-0.000183
26	-0.000183	-0.000183	-0.000347	0.000474
27	-0.000183	-0.000183	-0.000347	-0.001498
28	-0.000347	-0.000183	-0.000512	-0.000183
29	-0.000347	-0.000347	-1.9e-05	-0.001334
30	-0.000183	-0.000183	-1.9e-05	-0.003142
31	0.00031	-0.000183	0.000146	0.000474
32	-0.000183	0.000146	0.000146	-0.000676
33	0.00031	0.000146	0.000146	0.002118
34	-0.000347	-1.9e-05	0.000146	0.003761
35	0.001132	0.00031	-0.000183	0.005405
36	-0.000183	-0.000183	-0.000347	0.005241
37	-0.000183	-1.9e-05	-0.000347	0.003761
38	-0.000676	-0.000183	-0.000347	0.00294
39	-1.9e-05	-0.000347	-0.000347	0.003926
40	-0.000183	-0.000347	-1.9e-05	0.00146
41	-0.000676	-0.000347	0.000146	0.000639
42	0.000474	-1.9e-05	0.000146	0.000146
43	-1.9e-05	0.00031	0.00031	0.001296
44	0.000803	-1.9e-05	0.000146	0.000803
45	-1.9e-05	-1.9e-05	0.000146	-0.000841
46	0.002447	0.00031	-0.000183	0.001132
47	0.000146	0.000146	-0.000183	0.001789
48	0.000639	-0.000183	-0.000512	0.001625
49	-1.9e-05	-1.9e-05	-0.000347	0.005241
50	0.001296	-0.000347	-0.000512	-0.001498
51	-0.004785	-0.000347	-1.9e-05	0.001954
52	-0.001827	-0.000183	0.000146	0.00031
53	-0.000841	-1.9e-05	0.000146	-0.001662
54	-0.002155	-1.9e-05	0.000146	-0.001334
55	0.000146	0.00031	0.000146	0.002775
56	0.000474	0.00031	-1.9e-05	0.001296
57	0.00031	-1.9e-05	-1.9e-05	0.001954
58	-0.000183	0.000146	-0.000347	0.000474
59	-0.000183	-0.000183	-0.000347	-0.000676
60	-0.000183	-0.000183	-0.000183	-0.000676
61	0.000967	-0.000347	-0.000183	-0.000183
62	-0.002484	-0.000512	0.000146	-0.001991
63	0.001132	-0.000347	0.00031	-0.003963
64	-0.001991	-1.9e-05	0.00031	-0.001991
65	0.000639	0.000146	0.000146	0.001789
66	-0.000347	-1.9e-05	0.00031	0.000803
67	-0.00347	0.000146	-1.9e-05	0.002282
68	0.001625	0.00031	-0.000183	-0.000347
69	0.000474	0.000146	-0.000183	0.00146
70	-0.001005	-0.000183	-0.000347	-0.001005
71	-0.000347	-0.000183	-0.000183	0.002282
72	0.000146	-0.000347	-0.000512	-0.001334
73	0.000639	-0.000347	-0.000183	-0.004621
74	-0.00232	-0.000347	0.000146	-0.003963
75	0.000474	0.000146	-1.9e-05	-0.001005
76	0.001296	-1.9e-05	0.00031	-0.001334
77	-0.001005	0.000146	0.00031	-0.003963
78	-0.001662	0.00031	-1.9e-05	-0.00725
79	0.000474	0.000474	-1.9e-05	-0.001169
80	-0.000347	0.00031	-0.000512	0.000146
81	-0.00232	-0.000183	-0.000347	-0.002813
82	-0.001005	-0.000183	-0.000512	-0.000841
83	-0.000183	-0.000347	-0.000347	-0.002155
84	-0.000512	-0.000347	-1.9e-05	-0.008072
85	0.000146	-0.000347	-1.9e-05	-0.004128
86	0.000146	-0.000183	0.000474	-0.000183
87	-0.000676	-1.9e-05	0.000146	-0.001005
88	-0.001498	0.00031	0.00031	0.000474
89	0.000146	0.00031	-1.9e-05	-0.001827
90	0.00031	0.00031	-1.9e-05	-0.001334
91	0.001789	0.00031	-0.000183	-0.000347
92	-0.001662	-1.9e-05	-0.000183	-0.001334
93	-0.001991	-0.000512	-0.000512	-0.001498
94	-0.003142	-0.000347	-0.000347	-0.001005
95	-0.000841	-0.000347	-0.000183	-0.001005
96	-0.003142	-0.000183	0.000146	-0.002813
97	-0.000841	-1.9e-05	0.000146	-0.000347
98	-0.000512	-1.9e-05	0.000146	-0.001991
