Ladekurvenmessung
Zeit: 2018_05_04 11.33.09
Info: FVA3, v = 0.195, T = 80, F = 20, h = 86.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 1
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2
0	-1.9e-05	0.000146
1	-1.9e-05	-0.000183
2	-0.000183	-1.9e-05
3	-0.000183	-0.000183
4	-0.000347	-0.000347
5	-0.000512	-0.000347
6	-0.000347	-0.000347
7	-0.000183	-0.000347
8	-0.000512	-0.000183
9	-0.000347	-0.000183
10	-0.000347	-0.000183
11	-1.9e-05	-0.000183
12	-1.9e-05	-1.9e-05
13	-1.9e-05	-0.000183
14	-1.9e-05	-0.000183
15	-0.000347	-0.000183
16	-0.000183	-0.000347
17	-0.000183	-0.000183
18	-0.000183	-0.000347
19	-0.000347	-0.000512
20	-0.000183	-0.000347
21	-1.9e-05	-0.000183
22	-0.000183	-0.000183
23	-0.000183	-1.9e-05
24	-1.9e-05	-0.000183
25	-1.9e-05	-0.000347
26	-0.000183	-0.000347
27	-0.000347	-0.000512
28	-0.000347	-0.000183
29	-0.000347	-0.000512
30	-0.000347	-0.000347
31	-0.000347	-0.000183
32	-0.000347	-0.000183
33	-0.000183	0.000146
34	-0.000183	-0.000183
35	-1.9e-05	-0.000183
36	-0.000183	-1.9e-05
37	-0.000183	-0.000183
38	-0.000183	-0.000347
39	-0.000183	-0.000347
40	-0.000512	-0.000347
41	-0.000512	-0.000347
42	-0.000347	-0.000512
43	-1.9e-05	-0.000183
44	-0.000183	0.000146
45	-0.000183	-0.000183
46	-1.9e-05	-0.000183
47	-0.000183	-0.000183
48	-0.000347	-0.000183
49	-0.000183	-0.000347
50	-0.000512	-0.000183
51	-0.000347	-0.000512
52	-0.000512	-0.000183
53	-0.000347	-0.000183
54	-0.000183	-0.000183
55	-1.9e-05	-0.000183
56	-0.000183	-0.000183
57	-0.000347	-0.000183
58	-0.000183	-1.9e-05
59	-0.000183	-0.000347
60	-0.000183	-0.000183
61	-0.000347	-0.000347
62	-0.000347	-0.000347
63	-0.000183	-0.000512
64	-1.9e-05	-0.000183
65	-0.000183	-1.9e-05
66	0.000146	-0.000347
67	-1.9e-05	-1.9e-05
68	-0.000183	-0.000183
69	-0.000183	0.000146
70	-0.000183	-0.000512
71	-0.000347	-0.000347
72	-0.000347	-0.000347
73	-0.000183	-0.000347
74	-0.000183	-0.000347
75	-0.000183	-0.000347
76	-0.000183	-1.9e-05
77	-0.000183	-0.000183
78	-0.000347	-1.9e-05
79	-1.9e-05	-0.000183
80	-1.9e-05	-0.000183
81	-0.000183	-1.9e-05
82	-0.000183	-0.000512
83	-0.000183	-0.000183
84	-0.000347	-0.000347
85	-0.000183	-0.000347
86	-0.000347	-1.9e-05
87	-0.000183	-1.9e-05
88	-0.000183	-1.9e-05
89	0.000146	-0.000183
90	-0.000183	-0.000183
91	-1.9e-05	-0.000183
92	-0.000183	-0.000347
93	-0.000183	-0.000512
94	-0.000183	-0.000347
95	-0.000347	-0.000183
96	-0.000512	-0.000347
97	-0.000347	-0.000183
98	-1.9e-05	-1.9e-05
99	-0.000183	-1.9e-05
100	-0.000183	-1.9e-05
101	-1.9e-05	-1.9e-05
102	-1.9e-05	-1.9e-05
103	-1.9e-05	-0.000512
104	-0.000347	-0.000183
105	-0.000183	-0.000183
106	-0.000347	-0.000347
107	-0.000512	-0.000347
108	-0.000183	-0.000183
109	-0.000183	-0.000183
110	-0.000183	-0.000183
111	-0.000183	-1.9e-05
112	-0.000183	-0.000183
113	-0.000183	-0.000183
114	-0.000347	-0.000183
115	-0.000512	-0.000183
116	-0.000347	-0.000183
117	-0.000347	-0.000512
118	-0.000183	-0.000183
119	-0.000347	-0.000183
120	-1.9e-05	-0.000183
121	0.000146	-0.000183
122	-0.000183	-1.9e-05
123	-1.9e-05	-0.000183
124	-1.9e-05	-0.000183
125	-1.9e-05	-0.000183
126	-0.000183	-0.000347
127	-0.000347	-0.000512
128	-0.000183	-0.000512
129	-0.000347	-0.000183
130	-0.000183	-0.000183
131	-0.000183	-0.000183
132	-0.000183	-0.000183
133	0.000146	-1.9e-05
134	-1.9e-05	-0.000183
135	-0.000183	-0.000183
136	-1.9e-05	-0.000512
