Oil	Temp	Load	Pressung	Speed	Film	Cap
FVA3	60	20	508934359.4004964	0.1	4.810861248122651e-08	2.244658448542403e-11
FVA3	60	20	508934359.4004964	0.12	5.435935140841437e-08	1.986546944651772e-11
FVA3	60	20	508934359.4004964	0.144	6.142224714330706e-08	1.758115478935299e-11
FVA3	60	20	508934359.4004964	0.17279999999999998	6.940282299890559e-08	1.5559511672218352e-11
FVA3	60	20	508934359.4004964	0.20735999999999996	7.842031290355163e-08	1.3770335701981987e-11
FVA3	60	20	508934359.4004964	0.24883199999999994	8.860944281744734e-08	1.2186895664846083e-11
FVA3	60	20	508934359.4004964	0.29859839999999993	1.001224436081391e-07	1.0785534148195633e-11
FVA3	60	20	508934359.4004964	0.3583180799999999	1.1313132545836478e-07	9.545314086625787e-12
FVA3	60	20	508934359.4004964	0.4299816959999999	1.278304477870936e-07	8.447705951362594e-12
FVA3	60	20	508934359.4004964	0.5159780352	1.444394230797078e-07	7.47631090952541e-12
FVA3	60	20	508934359.4004964	0.6191736422399999	1.6320639801204883e-07	6.61661581708735e-12
FVA3	60	20	508934359.4004964	0.743008370688	1.8441176089001847e-07	5.8557763850018385e-12
FVA3	60	20	508934359.4004964	0.8916100448256	2.083723307957983e-07	5.182425278885208e-12
FVA3	60	20	508934359.4004964	1.06993205379072	2.3544609102869696e-07	4.586502285165385e-12
FVA3	60	20	508934359.4004964	1.2839184645488642	2.6603753756067914e-07	4.0591040062911155e-12
FVA3	60	20	508934359.4004964	1.5407021574586368	3.0060372241526556e-07	3.592350839370499e-12
FVA3	60	20	508934359.4004964	1.8488425889503644	3.3966108226100867e-07	3.179269250830918e-12
FVA3	60	20	508934359.4004964	2.218611106740437	3.837931542422607e-07	2.8136875882229253e-12
