Oil	Temp	Load	Pressung	Speed	Film	Cap
SHC320	40	20	828131220.0443854	0.1	2.0040681082778238e-07	3.887399410559853e-12
SHC320	60	20	828131220.0443854	0.1	1.0857044489488246e-07	7.175629786157604e-12
SHC320	80	20	828131220.0443854	0.1	6.730048175706662e-08	1.157586540162172e-11
SHC320	40	30	947973602.2878757	0.1	1.950358119166337e-07	5.23421372052126e-12
SHC320	60	30	947973602.2878757	0.1	1.0566070475728579e-07	9.661672473906673e-12
SHC320	80	30	947973602.2878757	0.1	6.549679647938606e-08	1.558639777211615e-11
SHC320	40	40	1043379956.2090447	0.1	1.91312552992924e-07	6.464200789990267e-12
SHC320	60	40	1043379956.2090447	0.1	1.0364362821115294e-07	1.1932067388382265e-11
SHC320	80	40	1043379956.2090447	0.1	6.424645414702247e-08	1.924904296448598e-11
SHC320	40	20	828131220.0443854	0.12	2.2644561321900973e-07	3.4403904196219615e-12
SHC320	60	20	828131220.0443854	0.12	1.2267697325321691e-07	6.350509778848592e-12
SHC320	80	20	828131220.0443854	0.12	7.604481503630127e-08	1.0244765772817032e-11
SHC320	40	30	947973602.2878757	0.12	2.2037676188102374e-07	4.632335614760443e-12
SHC320	60	30	947973602.2878757	0.12	1.193891713714123e-07	8.550684379500538e-12
SHC320	80	30	947973602.2878757	0.12	7.400677742135483e-08	1.3794130190466538e-11
SHC320	40	40	1043379956.2090447	0.12	2.1616974093862113e-07	5.7208874416103215e-12
SHC320	60	40	1043379956.2090447	0.12	1.1711001661857686e-07	1.0560008374174737e-11
SHC320	80	40	1043379956.2090447	0.12	7.259397845002111e-08	1.703561070210989e-11
SHC320	40	20	828131220.0443854	0.144	2.558676301186105e-07	3.0447826398476357e-12
SHC320	60	20	828131220.0443854	0.144	1.386163590021346e-07	5.620269670133986e-12
SHC320	80	20	828131220.0443854	0.144	8.592529715878402e-08	9.066728240048443e-12
SHC320	40	30	947973602.2878757	0.144	2.490102545778849e-07	4.099666997480001e-12
SHC320	60	30	947973602.2878757	0.144	1.3490137391658457e-07	7.567447929465047e-12
SHC320	80	30	947973602.2878757	0.144	8.362245787116846e-08	1.2207954043874403e-11
SHC320	40	40	1043379956.2090447	0.144	2.442566165493539e-07	5.0630471086625935e-12
SHC320	60	40	1043379956.2090447	0.144	1.3232608920697281e-07	9.345721343412514e-12
SHC320	80	40	1043379956.2090447	0.144	8.202609431397494e-08	1.507669926911561e-11
SHC320	40	20	828131220.0443854	0.17279999999999998	2.8911244166693404e-07	2.6946654865223776e-12
SHC320	60	20	828131220.0443854	0.17279999999999998	1.5662674480359184e-07	4.973999295337685e-12
